date,MEG
2017/11/23,50.7
2017/11/30,53.5
2017/12/7,49
2017/12/14,52.8
2017/12/21,54.9
2017/12/28,46.5
2018/1/4,51.8
2018/1/11,47.4
2018/1/18,45.1
2018/1/25,48
2018/2/1,54.7
2018/2/8,49.8
2018/2/23,62.7
2018/3/1,70.7
2018/3/8,70.3
2018/3/15,73.7
2018/3/22,75.4
2018/3/29,82.7
2018/4/8,75.5
2018/4/12,80
2018/4/19,88.6
2018/4/26,93.2
2018/5/3,95.3
2018/5/10,97.5
2018/5/17,100.4
2018/5/24,99.6
2018/5/31,96.3
2018/6/7,92.9
2018/6/14,81.1
2018/6/21,82.6
2018/6/28,79.8
2018/7/5,77
2018/7/12,68.5
2018/7/19,69
2018/7/26,62.1
2018/8/2,57.2
2018/8/9,53.8
2018/8/16,58.4
2018/8/23,54.1
2018/8/30,52.1
2018/9/6,60.3
2018/9/13,55.6
2018/9/20,53.7
2018/9/27,65.2
2018/10/11,64.8
2018/10/18,71.5
2018/10/25,68.3
2018/11/1,69.1
2018/11/8,77.9
2018/11/15,77.1
2018/11/22,76.9
2018/11/29,75.3
2018/12/6,70.9
2018/12/13,71.7
2018/12/20,79
2018/12/27,83.9
2019/1/3,78.5
2019/1/10,83.4
2019/1/17,90.2
2019/1/24,89.3
2019/1/31,92.4
2019/2/12,113.9
2019/2/14,115.4
2019/2/21,119.1
