,close,close_dt,commodity,contract,count,direction,holding_period,multiplier,open,open_dt,pnl,rtn,tcost,tcost_mode,tcost_unit,volume
33,1855.0,2015-10-09,HC,HC.SHF_MC_LastMonthEnd,34,-1.0,19,10,1895.0,2015-09-21,8000.0,0.021108179419525065,0,,,20.0
34,1855.0,2015-10-09,HC,HC.SHF_MC_LastMonthEnd,35,-1.0,16,10,1871.0,2015-09-24,1920.0,0.0085515766969535,0,,,12.0
35,1855.0,2015-10-09,HC,HC.SHF_MC_LastMonthEnd,36,-1.0,15,10,1878.0,2015-09-25,2990.0,0.012247071352502662,0,,,13.0
36,1811.0,2015-09-29,HC,HC.SHF_MC_LastMonthEnd,37,-1.0,2,10,1782.0,2015-09-28,-4350.0,-0.01627384960718294,0,,,15.0
37,1869.0,2015-10-08,HC,HC.SHF_MC_LastMonthEnd,38,-1.0,11,10,1782.0,2015-09-28,-5220.0,-0.04882154882154882,0,,,6.0
38,1869.0,2015-10-08,HC,HC.SHF_MC_LastMonthEnd,39,-1.0,9,10,1847.0,2015-09-30,-27720.0,-0.011911207363291824,0,,,126.0
39,1855.0,2015-10-09,HC,HC.SHF_MC_LastMonthEnd,40,-1.0,12,10,1782.0,2015-09-28,-9490.0,-0.0409652076318743,0,,,13.0
40,1869.0,2015-12-18,HC,HC.SHF_MC_LastMonthEnd,41,-1.0,2,10,1836.0,2015-12-17,-3300.0,-0.017973856209150325,0,,,10.0
41,1908.0,2015-12-21,HC,HC.SHF_MC_LastMonthEnd,42,-1.0,5,10,1836.0,2015-12-17,-11520.0,-0.0392156862745098,0,,,16.0
42,1959.0,2015-12-28,HC,HC.SHF_MC_LastMonthEnd,43,-1.0,12,10,1836.0,2015-12-17,-4920.0,-0.06699346405228758,0,,,4.0
43,1929.0,2015-12-24,HC,HC.SHF_MC_LastMonthEnd,44,-1.0,3,10,1962.0,2015-12-22,990.0,0.016819571865443424,0,,,3.0
44,1929.0,2015-12-24,HC,HC.SHF_MC_LastMonthEnd,45,-1.0,2,10,1917.0,2015-12-23,-240.0,-0.006259780907668232,0,,,2.0
45,1932.0,2015-12-25,HC,HC.SHF_MC_LastMonthEnd,46,-1.0,4,10,1962.0,2015-12-22,1500.0,0.01529051987767584,0,,,5.0
46,1981.0,2015-12-29,HC,HC.SHF_MC_LastMonthEnd,47,-1.0,13,10,1836.0,2015-12-17,-17400.0,-0.0789760348583878,0,,,12.0
47,2033.0,2015-12-30,HC,HC.SHF_MC_LastMonthEnd,48,-1.0,14,10,1836.0,2015-12-17,-9850.0,-0.10729847494553377,0,,,5.0
48,2041.0,2015-12-31,HC,HC.SHF_MC_LastMonthEnd,49,-1.0,15,10,1836.0,2015-12-17,-8200.0,-0.1116557734204793,0,,,4.0
49,1931.0,2016-01-05,HC,HC.SHF_MC_LastMonthEnd,50,-1.0,20,10,1836.0,2015-12-17,-460750.0,-0.051742919389978215,0,,,485.0
50,1931.0,2016-01-05,HC,HC.SHF_MC_LastMonthEnd,51,-1.0,2,10,1980.0,2016-01-04,16170.0,0.024747474747474747,0,,,33.0
51,6400.0,2013-04-19,V,V.DCE_MC_LastMonthEnd,1,1.0,4,5,6390.0,2013-04-16,50.0,0.001564945226917058,0,,,1.0
52,6400.0,2013-04-19,V,V.DCE_MC_LastMonthEnd,2,1.0,3,5,6420.0,2013-04-17,-100.0,-0.003115264797507788,0,,,1.0
53,6400.0,2013-04-19,V,V.DCE_MC_LastMonthEnd,3,1.0,2,5,6385.0,2013-04-18,75.0,0.0023492560689115116,0,,,1.0
54,6480.0,2013-05-02,V,V.DCE_MC_LastMonthEnd,4,1.0,17,5,6390.0,2013-04-16,3150.0,0.014084507042253521,0,,,7.0
55,6415.0,2013-04-24,V,V.DCE_MC_LastMonthEnd,5,1.0,2,5,6435.0,2013-04-23,-100.0,-0.003108003108003108,0,,,1.0
56,6480.0,2013-05-02,V,V.DCE_MC_LastMonthEnd,6,1.0,10,5,6435.0,2013-04-23,225.0,0.006993006993006993,0,,,1.0
57,6340.0,2013-04-26,V,V.DCE_MC_LastMonthEnd,7,1.0,2,5,6430.0,2013-04-25,-900.0,-0.013996889580093312,0,,,2.0
58,6480.0,2013-05-02,V,V.DCE_MC_LastMonthEnd,8,1.0,8,5,6430.0,2013-04-25,2250.0,0.007776049766718507,0,,,9.0
59,6515.0,2013-05-03,V,V.DCE_MC_LastMonthEnd,9,1.0,18,5,6390.0,2013-04-16,384375.0,0.019561815336463225,0,,,615.0
60,6660.0,2013-09-03,V,V.DCE_MC_LastMonthEnd,10,-1.0,20,5,6705.0,2013-08-15,134775.0,0.006711409395973154,0,,,599.0
61,6640.0,2013-09-02,V,V.DCE_MC_LastMonthEnd,11,-1.0,14,5,6675.0,2013-08-20,175.0,0.0052434456928838954,0,,,1.0
62,6570.0,2013-08-27,V,V.DCE_MC_LastMonthEnd,12,-1.0,2,5,6650.0,2013-08-26,2400.0,0.012030075187969926,0,,,6.0
63,6640.0,2013-09-02,V,V.DCE_MC_LastMonthEnd,13,-1.0,4,5,6630.0,2013-08-30,-400.0,-0.0015082956259426848,0,,,8.0
64,6660.0,2013-09-03,V,V.DCE_MC_LastMonthEnd,14,-1.0,15,5,6675.0,2013-08-20,150.0,0.0022471910112359553,0,,,2.0
65,6410.0,2014-01-02,V,V.DCE_MC_LastMonthEnd,15,-1.0,17,5,6265.0,2013-12-17,-5800.0,-0.02314445331205108,0,,,8.0
66,6245.0,2013-12-20,V,V.DCE_MC_LastMonthEnd,16,-1.0,3,5,6295.0,2013-12-18,500.0,0.007942811755361398,0,,,2.0
67,6410.0,2014-01-02,V,V.DCE_MC_LastMonthEnd,17,-1.0,16,5,6295.0,2013-12-18,-575.0,-0.018268467037331215,0,,,1.0
68,6300.0,2013-12-27,V,V.DCE_MC_LastMonthEnd,18,-1.0,5,5,6265.0,2013-12-23,-175.0,-0.00558659217877095,0,,,1.0
69,6245.0,2013-12-25,V,V.DCE_MC_LastMonthEnd,19,-1.0,2,5,6260.0,2013-12-24,75.0,0.0023961661341853034,0,,,1.0
70,6410.0,2014-01-02,V,V.DCE_MC_LastMonthEnd,20,-1.0,4,5,6240.0,2013-12-30,-850.0,-0.027243589743589744,0,,,1.0
71,6410.0,2014-01-02,V,V.DCE_MC_LastMonthEnd,21,-1.0,3,5,6205.0,2013-12-31,-3075.0,-0.033037872683319904,0,,,3.0
72,6380.0,2014-01-03,V,V.DCE_MC_LastMonthEnd,22,-1.0,18,5,6265.0,2013-12-17,-300150.0,-0.018355945730247406,0,,,522.0
73,6085.0,2014-05-05,V,V.DCE_MC_LastMonthEnd,23,1.0,19,5,6160.0,2014-04-17,-750.0,-0.012175324675324676,0,,,2.0
74,6030.0,2014-04-21,V,V.DCE_MC_LastMonthEnd,24,1.0,4,5,6095.0,2014-04-18,-325.0,-0.01066447908121411,0,,,1.0
75,6015.0,2014-04-23,V,V.DCE_MC_LastMonthEnd,25,1.0,6,5,6095.0,2014-04-18,-400.0,-0.013125512715340444,0,,,1.0
76,6020.0,2014-04-24,V,V.DCE_MC_LastMonthEnd,26,1.0,7,5,6095.0,2014-04-18,-750.0,-0.012305168170631665,0,,,2.0
77,6085.0,2014-05-05,V,V.DCE_MC_LastMonthEnd,27,1.0,18,5,6095.0,2014-04-18,-100.0,-0.0016406890894175555,0,,,2.0
78,6085.0,2014-05-05,V,V.DCE_MC_LastMonthEnd,28,1.0,11,5,6055.0,2014-04-25,300.0,0.00495458298926507,0,,,2.0
79,6005.0,2014-04-29,V,V.DCE_MC_LastMonthEnd,29,1.0,2,5,6040.0,2014-04-28,-175.0,-0.005794701986754967,0,,,1.0
80,6085.0,2014-05-05,V,V.DCE_MC_LastMonthEnd,30,1.0,8,5,6040.0,2014-04-28,225.0,0.0074503311258278145,0,,,1.0
81,6085.0,2014-05-05,V,V.DCE_MC_LastMonthEnd,31,1.0,6,5,6025.0,2014-04-30,300.0,0.00995850622406639,0,,,1.0
82,6120.0,2014-05-06,V,V.DCE_MC_LastMonthEnd,32,1.0,20,5,6160.0,2014-04-17,-81600.0,-0.006493506493506494,0,,,408.0
83,5350.0,2015-01-06,V,V.DCE_MC_LastMonthEnd,33,-1.0,20,5,5830.0,2014-12-18,912000.0,0.0823327615780446,0,,,380.0
84,5745.0,2014-12-22,V,V.DCE_MC_LastMonthEnd,34,-1.0,4,5,5835.0,2014-12-19,450.0,0.015424164524421594,0,,,1.0
85,5775.0,2014-12-26,V,V.DCE_MC_LastMonthEnd,35,-1.0,8,5,5835.0,2014-12-19,600.0,0.010282776349614395,0,,,2.0
86,5715.0,2014-12-24,V,V.DCE_MC_LastMonthEnd,36,-1.0,2,5,5715.0,2014-12-23,-0.0,-0.0,0,,,1.0
87,5765.0,2014-12-25,V,V.DCE_MC_LastMonthEnd,37,-1.0,3,5,5715.0,2014-12-23,-500.0,-0.008748906386701663,0,,,2.0
88,5350.0,2015-01-06,V,V.DCE_MC_LastMonthEnd,38,-1.0,19,5,5835.0,2014-12-19,7275.0,0.0831191088260497,0,,,3.0
89,5350.0,2015-01-06,V,V.DCE_MC_LastMonthEnd,39,-1.0,9,5,5790.0,2014-12-29,2200.0,0.07599309153713299,0,,,1.0
90,5350.0,2015-01-06,V,V.DCE_MC_LastMonthEnd,40,-1.0,8,5,5790.0,2014-12-30,4400.0,0.07599309153713299,0,,,2.0
91,5350.0,2015-01-06,V,V.DCE_MC_LastMonthEnd,41,-1.0,2,5,5445.0,2015-01-05,12825.0,0.017447199265381085,0,,,27.0
92,5810.0,2015-04-28,V,V.DCE_MC_LastMonthEnd,42,-1.0,13,5,5730.0,2015-04-16,-800.0,-0.013961605584642234,0,,,2.0
93,5770.0,2015-04-24,V,V.DCE_MC_LastMonthEnd,43,-1.0,5,5,5775.0,2015-04-20,50.0,0.0008658008658008658,0,,,2.0
94,5680.0,2015-04-22,V,V.DCE_MC_LastMonthEnd,44,-1.0,2,5,5700.0,2015-04-21,100.0,0.0035087719298245615,0,,,1.0
95,5750.0,2015-04-27,V,V.DCE_MC_LastMonthEnd,45,-1.0,8,5,5775.0,2015-04-20,375.0,0.004329004329004329,0,,,3.0
96,5745.0,2015-04-29,V,V.DCE_MC_LastMonthEnd,46,-1.0,14,5,5730.0,2015-04-16,-225.0,-0.002617801047120419,0,,,3.0
97,5855.0,2015-04-30,V,V.DCE_MC_LastMonthEnd,47,-1.0,15,5,5730.0,2015-04-16,-1875.0,-0.02181500872600349,0,,,3.0
98,5865.0,2015-05-05,V,V.DCE_MC_LastMonthEnd,48,-1.0,20,5,5730.0,2015-04-16,-255150.0,-0.02356020942408377,0,,,378.0
99,5060.0,2015-09-02,V,V.DCE_MC_LastMonthEnd,49,1.0,16,5,5410.0,2015-08-18,-810250.0,-0.06469500924214418,0,,,463.0
100,5060.0,2015-09-02,V,V.DCE_MC_LastMonthEnd,50,1.0,10,5,5370.0,2015-08-24,-4650.0,-0.05772811918063315,0,,,3.0
101,5060.0,2015-09-02,V,V.DCE_MC_LastMonthEnd,51,1.0,8,5,5400.0,2015-08-26,-1700.0,-0.06296296296296296,0,,,1.0
102,5060.0,2015-09-02,V,V.DCE_MC_LastMonthEnd,52,1.0,7,5,5345.0,2015-08-27,-1425.0,-0.05332086061739944,0,,,1.0
103,5060.0,2015-09-02,V,V.DCE_MC_LastMonthEnd,53,1.0,3,5,5400.0,2015-08-31,-15300.0,-0.06296296296296296,0,,,9.0
104,5060.0,2015-09-02,V,V.DCE_MC_LastMonthEnd,54,1.0,2,5,5125.0,2015-09-01,-4550.0,-0.012682926829268294,0,,,14.0
105,4635.0,2015-12-18,V,V.DCE_MC_LastMonthEnd,55,1.0,2,5,4630.0,2015-12-17,125.0,0.0010799136069114472,0,,,5.0
106,4680.0,2015-12-21,V,V.DCE_MC_LastMonthEnd,56,1.0,5,5,4630.0,2015-12-17,1250.0,0.01079913606911447,0,,,5.0
107,4745.0,2015-12-22,V,V.DCE_MC_LastMonthEnd,57,1.0,6,5,4630.0,2015-12-17,1725.0,0.024838012958963283,0,,,3.0
108,4760.0,2015-12-24,V,V.DCE_MC_LastMonthEnd,58,1.0,8,5,4630.0,2015-12-17,7150.0,0.028077753779697623,0,,,11.0
109,4760.0,2015-12-24,V,V.DCE_MC_LastMonthEnd,59,1.0,2,5,4765.0,2015-12-23,-75.0,-0.001049317943336831,0,,,3.0
110,4820.0,2016-01-05,V,V.DCE_MC_LastMonthEnd,60,1.0,20,5,4630.0,2015-12-17,386650.0,0.04103671706263499,0,,,407.0
111,4865.0,2015-12-31,V,V.DCE_MC_LastMonthEnd,61,1.0,7,5,4840.0,2015-12-25,125.0,0.005165289256198347,0,,,1.0
112,4855.0,2015-12-30,V,V.DCE_MC_LastMonthEnd,62,1.0,3,5,4850.0,2015-12-28,75.0,0.0010309278350515464,0,,,3.0
113,4855.0,2015-12-30,V,V.DCE_MC_LastMonthEnd,63,1.0,2,5,4695.0,2015-12-29,800.0,0.03407880724174654,0,,,1.0
114,4820.0,2016-01-05,V,V.DCE_MC_LastMonthEnd,64,1.0,12,5,4840.0,2015-12-25,-200.0,-0.004132231404958678,0,,,2.0
115,4820.0,2016-01-05,V,V.DCE_MC_LastMonthEnd,65,1.0,2,5,4850.0,2016-01-04,-900.0,-0.006185567010309278,0,,,6.0
116,5465.0,2016-09-02,V,V.DCE_MC_LastMonthEnd,66,1.0,18,5,5960.0,2016-08-16,-1039500.0,-0.08305369127516779,0,,,420.0
117,5850.0,2016-08-22,V,V.DCE_MC_LastMonthEnd,67,1.0,6,5,5935.0,2016-08-17,-850.0,-0.014321819713563605,0,,,2.0
118,5850.0,2016-08-19,V,V.DCE_MC_LastMonthEnd,68,1.0,2,5,5855.0,2016-08-18,-25.0,-0.0008539709649871904,0,,,1.0
119,5850.0,2016-08-22,V,V.DCE_MC_LastMonthEnd,69,1.0,5,5,5855.0,2016-08-18,-25.0,-0.0008539709649871904,0,,,1.0
120,5465.0,2016-09-02,V,V.DCE_MC_LastMonthEnd,70,1.0,17,5,5935.0,2016-08-17,-9400.0,-0.07919123841617523,0,,,4.0
121,5465.0,2016-09-02,V,V.DCE_MC_LastMonthEnd,71,1.0,11,5,5865.0,2016-08-23,-4000.0,-0.06820119352088662,0,,,2.0
122,5770.0,2016-08-26,V,V.DCE_MC_LastMonthEnd,72,1.0,3,5,5850.0,2016-08-24,-1200.0,-0.013675213675213675,0,,,3.0
123,5770.0,2016-08-26,V,V.DCE_MC_LastMonthEnd,73,1.0,2,5,5805.0,2016-08-25,-350.0,-0.006029285099052541,0,,,2.0
124,5715.0,2016-08-31,V,V.DCE_MC_LastMonthEnd,74,1.0,3,5,5875.0,2016-08-29,-800.0,-0.02723404255319149,0,,,1.0
