,WGTS
HC.SHF,8.0
RB.SHF,8.0
JM.DCE,4.0
TA.CZC,0.0
L.DCE,0.0
V.DCE,0.0
EG.DCE,0.0
MA.CZC,0.0
PP.DCE,0.0
BU.SHF,0.0
J.DCE,-2.0
ZC.CZC,-6.0
I.DCE,-6.0
