,WGTS
MA.CZC,402.0
FG.CZC,381.0
FU.SHF,371.0
I.DCE,189.0
SC.INE,23.0
TA.CZC,0.0
NI.SHF,0.0
CU.SHF,0.0
BU.SHF,0.0
M.DCE,0.0
PP.DCE,0.0
RU.SHF,0.0
AL.SHF,0.0
RM.CZC,0.0
AG.SHF,0.0
JM.DCE,0.0
L.DCE,0.0
V.DCE,0.0
HC.SHF,0.0
RB.SHF,0.0
J.DCE,-48.0
AP.CZC,-95.0
ZC.CZC,-169.0
SR.CZC,-202.0
C.DCE,-548.0
