,BU.SHF,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,MA.CZC,PP.DCE,RB.SHF,TA.CZC,V.DCE,ZC.CZC
2013-01-04,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-22.0,20.0,-27.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-22.0,21.0,-27.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-22.0,21.0,-27.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-22.0,21.0,-26.0,0.0
2013-01-14,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-22.0,20.0,-26.0,0.0
2013-01-15,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-22.0,21.0,-27.0,0.0
2013-01-16,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-22.0,21.0,-27.0,0.0
2013-01-17,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-22.0,21.0,-26.0,0.0
2013-01-18,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-23.0,21.0,-27.0,0.0
2013-01-21,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-23.0,21.0,-27.0,0.0
2013-01-22,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-23.0,21.0,-27.0,0.0
2013-01-23,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-23.0,22.0,-28.0,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-23.0,22.0,-28.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-23.0,21.0,-27.0,0.0
2013-01-28,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-22.0,21.0,-27.0,0.0
2013-01-29,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-22.0,21.0,-27.0,0.0
2013-01-30,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-23.0,21.0,-28.0,0.0
2013-01-31,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-22.0,21.0,-27.0,0.0
2013-02-01,0.0,0.0,0.0,10.0,0.0,27.0,0.0,0.0,-13.0,31.0,-18.0,0.0
2013-02-04,0.0,0.0,0.0,10.0,0.0,27.0,0.0,0.0,-12.0,31.0,-18.0,0.0
2013-02-05,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,-12.0,31.0,-18.0,0.0
