,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-04,1.0,0.0,0.0,0.0
2013-01-07,1.0,0.0,0.0,0.0
2013-01-08,0.99526,1.008329481743464,-4740.0,0.07058306372204248
2013-01-09,0.991575,1.0079671230113707,-3685.0,0.07055769861079596
2013-01-10,0.99034,1.0109962235191954,-1235.0,0.07076973564634369
2013-01-11,0.990645,1.0284309717406337,305.0,0.07199016802184435
2013-01-14,0.9895,1.0062860030318344,-1145.0,0.07044002021222841
2013-01-15,0.987895,1.0339408540381316,-1605.0,0.07237585978266921
2013-01-16,0.98938,0.9412965695688209,1485.0,0.06589075986981746
2013-01-17,0.99236,0.9429239388931436,2980.0,0.06600467572252004
2013-01-18,0.995965,0.9209359766658467,3605.0,0.06446551836660927
2013-01-21,0.99623,0.9979823936239623,265.0,0.06985876755367736
2013-01-22,0.99394,1.000985975008552,-2290.0,0.07006901825059862
2013-01-23,0.99066,1.0093372095370763,-3280.0,0.07065360466759535
2013-01-24,0.99168,1.0393070345272668,1020.0,0.07275149241690869
2013-01-25,0.99071,1.0128796519667713,-970.0,0.07090157563767399
2013-01-28,0.996635,1.0132445679712232,5925.0,0.07092711975798563
2013-01-29,0.99879,0.928032919832998,2155.0,0.06496230438830985
2013-01-30,0.995725,0.9356950965376987,-3065.0,0.06549865675763891
2013-01-31,0.996395,0.9366014482208361,670.0,0.06556210137545854
2013-02-01,0.99757,1.043535791974498,1175.0,0.07304750543821488
2013-02-04,1.00357,1.0503502496088963,6000.0,0.07352451747262276
2013-02-05,1.00602,1.0406850758434225,2450.0,0.07284795530903959
2013-02-06,1.00842,1.0348366751948592,2400.0,0.07243856726364016
2013-02-07,1.02777,0.9781857808653687,19350.0,0.06847300466057582
2013-02-08,1.027235,0.9343772359781355,-535.0,0.0654064065184695
2013-02-18,1.01263,1.039570228020106,-14605.0,0.07276991596140744
2013-02-19,1.01008,1.0409571519087597,-2550.0,0.07286700063361319
2013-02-20,1.00788,1.0404512441957376,-2200.0,0.07283158709370165
