,fut_close,direction,dt_open,remain_close,remain_open,basis_close,basis_open,fut_slope,spot_open,spot_close,basis_rtn,count,spot_slope,fut_rtn,slope_diff,dt_close,cmd,fut_open
15,1105.0,1,2018-04-09,18.0,36.0,415.0,289.0,-0.28308270676691727,1580.0,1520.0,-126.0,15,-1.413533834586466,-186.0,-1.1304511278195488,2018-04-27,JM,1291.0
16,1340.5,1,2018-08-06,14.0,39.0,89.5,199.0,4.295488721804511,1430.0,1430.0,109.5,16,-3.8345864661654137,109.5,-8.130075187969926,2018-08-31,JM,1231.0
1,830.0,-1,2014-04-08,16.0,38.0,-105.0,-96.0,5.5172932330827065,765.0,725.0,-9.0,1,3.026315789473684,31.0,-2.4909774436090224,2014-04-30,I,861.0
2,596.0,-1,2014-08-06,17.0,40.0,-1.0,-45.0,-1.2774436090225565,645.0,595.0,44.0,2,-0.8120300751879699,94.0,0.4654135338345866,2014-08-29,I,690.0
3,526.0,-1,2014-12-08,16.0,39.0,-31.0,-24.0,-0.8654135338345864,495.0,495.0,-7.0,3,-1.5601503759398496,-7.0,-0.6947368421052632,2014-12-31,I,519.0
4,460.5,-1,2015-04-07,15.0,38.0,-45.5,-23.0,-4.642857142857143,365.0,415.0,-22.5,4,-3.5601503759398496,-72.5,1.0827067669172936,2015-04-30,I,388.0
5,451.5,-1,2015-08-07,16.0,40.0,-36.5,-2.0,3.4018796992481204,420.0,415.0,-34.5,5,1.9473684210526316,-29.5,-1.4545112781954888,2015-08-31,I,422.0
6,359.5,-1,2015-12-07,15.0,39.0,-37.5,-4.5,-2.2011278195488724,300.0,322.0,-33.0,6,-2.988721804511278,-55.0,-0.7875939849624056,2015-12-31,I,304.5
7,542.0,-1,2016-04-06,17.0,40.0,-55.0,-4.5,-0.8977443609022556,410.0,487.0,-50.5,7,-3.1984962406015036,-127.5,-2.300751879699248,2016-04-29,I,414.5
8,482.0,-1,2016-08-05,14.0,40.0,-42.0,-37.5,2.5052631578947366,455.0,440.0,-4.5,8,1.4954887218045112,10.5,-1.0097744360902254,2016-08-31,I,492.5
9,668.0,-1,2016-12-07,17.0,40.0,-53.0,-60.0,4.260902255639098,630.0,615.0,7.0,9,3.6278195488721803,22.0,-0.6330827067669178,2016-12-30,I,690.0
10,524.5,-1,2017-04-05,17.0,40.0,-19.5,-28.5,-2.569172932330827,610.0,505.0,9.0,10,-2.906015037593985,114.0,-0.3368421052631576,2017-04-28,I,638.5
11,601.0,-1,2017-08-07,14.0,38.0,-21.0,-9.0,5.330827067669173,585.0,580.0,-12.0,11,5.206015037593985,-7.0,-0.12481203007518804,2017-08-31,I,594.0
12,480.0,1,2017-12-06,17.0,40.0,43.0,14.5,4.333082706766917,530.0,523.0,-28.5,12,3.486466165413534,-35.5,-0.846616541353383,2017-12-29,I,515.5
13,453.5,1,2018-04-09,18.0,36.0,8.5,2.5,-3.0838345864661654,438.0,462.0,-6.0,13,-3.666917293233083,18.0,-0.5830827067669175,2018-04-27,I,435.5
14,478.0,-1,2018-08-06,14.0,39.0,2.0,-15.5,1.6364661654135337,487.0,480.0,17.5,14,1.6443609022556391,24.5,0.007894736842105399,2018-08-31,I,502.5
1,2014.0,-1,2011-08-08,15.0,38.0,191.0,-95.0,-1.125563909774436,2175.0,2205.0,286.0,1,-0.0,256.0,1.125563909774436,2011-08-31,J,2270.0
2,1785.0,1,2011-12-08,18.0,40.0,300.0,142.0,-2.918045112781955,2110.0,2085.0,-158.0,2,-2.1654135338345863,-183.0,0.7526315789473688,2011-12-30,J,1968.0
3,1810.0,1,2012-04-05,18.0,40.0,220.0,30.0,-1.556390977443609,2050.0,2030.0,-190.0,3,-1.150375939849624,-210.0,0.40601503759398505,2012-04-27,J,2020.0
4,1475.0,1,2012-08-06,14.0,39.0,200.0,135.0,-10.754887218045113,1715.0,1675.0,-65.0,4,-9.842105263157896,-105.0,0.9127819548872171,2012-08-31,J,1580.0
5,1559.0,1,2012-12-10,17.0,38.0,206.0,126.0,1.3526315789473684,1730.0,1765.0,-80.0,5,2.7293233082706765,-45.0,1.376691729323308,2012-12-31,J,1604.0
6,1415.0,1,2013-04-08,19.0,37.0,200.0,94.0,-5.944360902255639,1650.0,1615.0,-106.0,6,-8.977443609022556,-141.0,-3.0330827067669173,2013-04-26,J,1556.0
7,1418.0,1,2013-08-05,14.0,39.0,72.0,15.0,0.7157894736842105,1420.0,1490.0,-57.0,7,-0.0,13.0,-0.7157894736842105,2013-08-30,J,1405.0
8,1379.0,1,2013-12-06,15.0,40.0,186.0,40.0,0.25413533834586466,1565.0,1565.0,-146.0,8,0.35714285714285715,-146.0,0.10300751879699249,2013-12-31,J,1525.0
9,1024.0,1,2014-04-08,16.0,38.0,246.0,89.0,0.7466165413533835,1270.0,1270.0,-157.0,9,-8.097744360902256,-157.0,-8.844360902255639,2014-04-30,J,1181.0
10,1040.0,1,2014-08-06,17.0,40.0,140.0,146.0,-4.182706766917293,1180.0,1180.0,6.0,10,-0.0,6.0,4.182706766917293,2014-08-29,J,1034.0
11,1133.0,1,2014-12-08,16.0,39.0,67.0,131.0,0.10075187969924812,1200.0,1200.0,64.0,11,0.7218045112781954,64.0,0.6210526315789473,2014-12-31,J,1069.0
12,853.5,1,2015-04-07,15.0,38.0,186.5,183.0,-5.362406015037594,1100.0,1040.0,-3.5,12,-4.631578947368421,-63.5,0.730827067669173,2015-04-30,J,917.0
13,848.5,1,2015-08-07,16.0,40.0,101.5,128.0,0.8781954887218045,950.0,950.0,26.5,13,-0.0,26.5,-0.8781954887218045,2015-08-31,J,822.0
14,690.0,1,2015-12-07,15.0,39.0,125.0,122.0,-1.0150375939849625,815.0,815.0,-3.0,14,-3.6090225563909772,-3.0,-2.5939849624060147,2015-12-31,J,693.0
15,1027.5,1,2016-04-06,17.0,40.0,37.5,52.5,2.495488721804511,825.0,1065.0,15.0,15,-0.03759398496240601,255.0,-2.5330827067669173,2016-04-29,J,772.5
16,1343.0,-1,2016-08-05,14.0,40.0,7.0,0.0,9.229699248120301,1155.0,1350.0,7.0,16,4.056390977443609,-188.0,-5.173308270676692,2016-08-31,J,1155.0
17,2220.0,1,2016-12-07,17.0,40.0,-30.0,270.5,1.712406015037594,2430.0,2190.0,300.5,17,15.469924812030076,60.5,13.757518796992482,2016-12-30,J,2159.5
18,1979.0,1,2017-04-05,17.0,40.0,146.0,8.0,6.883834586466166,1990.0,2125.0,-138.0,18,6.511278195488722,-3.0,-0.37255639097744364,2017-04-28,J,1982.0
19,2234.0,-1,2017-08-07,14.0,38.0,91.0,-56.5,11.70187969924812,1990.0,2325.0,147.5,19,6.406015037593985,-187.5,-5.295864661654136,2017-08-31,J,2046.5
20,2350.0,-1,2017-12-06,17.0,40.0,145.0,-63.0,18.364285714285714,2045.0,2495.0,208.0,20,9.924812030075188,-242.0,-8.439473684210526,2017-12-29,J,2108.0
21,1802.0,1,2018-04-09,18.0,36.0,123.0,98.0,-11.253007518796993,1975.0,1925.0,-25.0,21,-14.81203007518797,-75.0,-3.5590225563909765,2018-04-27,J,1877.0
22,2555.0,-1,2018-08-06,14.0,39.0,70.0,-197.0,23.495488721804513,2300.0,2625.0,267.0,22,-1.2406015037593985,-58.0,-24.736090225563913,2018-08-31,J,2497.0
1,9565.0,1,2009-04-07,15.0,38.0,10.0,215.0,106.82330827067669,10050.0,9575.0,205.0,1,72.31203007518798,-270.0,-34.511278195488714,2009-04-30,L,9835.0
2,10450.0,-1,2009-08-05,14.0,40.0,375.0,-535.0,69.32330827067669,11050.0,10825.0,910.0,2,41.91729323308271,1135.0,-27.40601503759398,2009-08-31,L,11585.0
3,11800.0,1,2009-12-07,15.0,39.0,-150.0,90.0,-7.2406015037593985,11150.0,11650.0,240.0,3,21.2593984962406,740.0,28.5,2009-12-31,L,11060.0
4,10920.0,-1,2010-04-07,17.0,40.0,205.0,-120.0,-1.2932330827067668,11200.0,11125.0,325.0,4,5.526315789473684,400.0,6.819548872180451,2010-04-30,L,11320.0
5,9820.0,1,2010-08-05,14.0,40.0,-45.0,125.0,48.19924812030075,10075.0,9775.0,170.0,5,69.11654135338345,-130.0,20.917293233082702,2010-08-31,L,9950.0
6,11105.0,1,2010-12-08,17.0,40.0,-55.0,35.0,-60.62781954887218,10700.0,11050.0,90.0,6,-54.73684210526316,440.0,5.8909774436090245,2010-12-31,L,10665.0
