,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
fgObj.rank(fgObj.rtn),0.022637319747906684,0.03337015188130965,0.017410469891953686,0.019766025754150617,0.00017648117494134804,0.021103824169698214,7.04370092181632
fgObj.scale(fgObj.rtn),-0.009597131172138703,-0.01790270711749422,-0.006880437638097198,-0.014700601082335531,-0.0005005573906410085,-0.045730500018437016,7.04370092181632
"fgObj.decay_linear(fgObj.rtn, 20, min_periods=15)",-0.001791266280679251,0.0007286502987417197,-0.003030007027821555,-0.002113351989226226,0.00010542899042861156,0.008058271493469271,7.04370092181632
"fgObj.delay(fgObj.rtn, 20)",0.024066301163607983,0.02513225033452228,0.024288113659648586,0.027461891098239453,-3.074515176666418e-05,-0.015634718542259327,7.04370092181632
"fgObj.delta(fgObj.rtn, 20)",-0.0033682720064626692,0.008251082559189172,-0.003773105237349187,0.007122933469382579,0.0002389828670822394,0.02983527835378773,7.04370092181632
"fgObj.ts_argmax(fgObj.rtn, 20, min_periods=15)",0.0018051930131267435,0.014452783607244902,0.0067622766361669214,0.02774399698386919,2.6545004193978827e-05,0.009640810594835104,7.04370092181632
"fgObj.ts_argmin(fgObj.rtn, 20, min_periods=15)",0.00013643698541997623,0.006324904689225901,0.0011599232682679174,0.016445073161691196,1.1876150972973561e-05,-0.002821552199056623,7.04370092181632
"fgObj.ts_max(fgObj.rtn, 20, min_periods=15)",-5.4253302634254215e-05,0.006581984812284652,0.0029408146663027633,0.014179886342166638,-3.806159843526753e-05,-0.002470923775678785,7.04370092181632
"fgObj.ts_mean(fgObj.rtn, 20, min_periods=15)",0.01147229585178828,0.02183766638695013,0.012492671790215399,0.023711080858568784,0.00039605234489134696,0.020872643157565932,7.04370092181632
"fgObj.ts_median(fgObj.rtn, 20, min_periods=15)",0.017367408271056522,0.028582891001511623,0.0156924685443085,0.02486360067247507,0.0003669048613147428,0.028006888733331885,7.04370092181632
"fgObj.ts_min(fgObj.rtn, 20, min_periods=15)",-0.004343693785975931,-0.019439050634228842,-0.003880480932141387,-0.020693190313059735,-0.00026140924609780635,-0.016072985928948,7.04370092181632
"fgObj.ts_prod(fgObj.rtn, 20, min_periods=15)",0.0033214911872319146,-0.007002513546056791,0.012166881135546856,0.013820639801976063,0.00016205277504843324,0.006770187005049137,7.04370092181632
"fgObj.ts_rank(fgObj.rtn, 20, min_periods=15)",0.02419576525361335,0.03620214148522362,0.021911722920706197,0.0225665838511419,0.00039867405826475447,0.04057639153403117,7.04370092181632
"fgObj.ts_std(fgObj.rtn, 20, min_periods=15)",-0.002962171982484411,0.005136664062682481,0.0007558038366811963,0.012645688443453184,-5.888895476101361e-06,-0.0002541788977095887,7.04370092181632
"fgObj.ts_sum(fgObj.rtn, 20, min_periods=15)",0.011449381540377411,0.02178374795151093,0.012414735034894337,0.023511900331576772,0.00039742669927659435,0.02103369374733621,7.04370092181632
"fgObj.correlation(fgObj.rtn, fgObj.cls, 20, min_periods=15)",-0.008152709978227894,-0.01696671111903659,-0.006048433665197164,-0.01146053676261867,3.1040929372325443e-05,0.010792277012079458,7.04370092181632
