,WGTS
GO10SGSWMc1,604.0
LGOc1,80.0
MOG92SGMc2,68.0
RBc2,60.0
HOc1,60.0
EBOBNWEMc2,8.0
LCOc2,0.0
LCOc1,0.0
NACFRJPSWMc2,0.0
CLc1,0.0
CLc2,0.0
NACFRJPSWMc1,0.0
EBOBNWEMc1,-8.0
RBc1,-60.0
HOc2,-60.0
MOG92SGMc1,-68.0
LGOc2,-80.0
GO10SGSWMc2,-600.0
