,WGTS
NGc1,18560.0
CLc2,7952.0
LCOc2,7208.0
RBc2,6128.0
GO10SGSWMc1,6032.0
HOc1,5896.0
MOG92SGMc2,0.0
NACFRJPSWMc2,0.0
NACFRJPSWMc1,0.0
LGOc2,0.0
LGOc1,0.0
MOG92SGMc1,0.0
HOc2,-5880.0
GO10SGSWMc2,-6016.0
RBc1,-6064.0
LCOc1,-7168.0
CLc1,-7960.0
NGc2,-18304.0
