,WGTS
HC.SHF,355.0
I.DCE,237.0
JM.DCE,168.0
J.DCE,61.0
L.DCE,0.0
RB.SHF,0.0
PP.DCE,0.0
V.DCE,-384.0
TA.CZC,-401.0
BU.SHF,-420.0
MA.CZC,-503.0
