,WGTS
FG.CZC,3723.0
TA.CZC,0.0
NI.SHF,0.0
CU.SHF,0.0
ZC.CZC,0.0
J.DCE,0.0
BU.SHF,0.0
AP.CZC,0.0
M.DCE,0.0
PP.DCE,0.0
RU.SHF,0.0
AL.SHF,0.0
RM.CZC,0.0
AG.SHF,0.0
JM.DCE,0.0
SC.INE,0.0
I.DCE,0.0
C.DCE,0.0
L.DCE,0.0
MA.CZC,0.0
SR.CZC,0.0
FU.SHF,0.0
V.DCE,0.0
HC.SHF,0.0
RB.SHF,0.0
