,WGTS
RB.SHF,11.15137998327293
L.DCE,9.55223880597015
TA.CZC,0.0
JM.DCE,0.0
V.DCE,0.0
FU.SHF,0.0
RU.SHF,0.0
MA.CZC,0.0
ZC.CZC,0.0
J.DCE,0.0
BU.SHF,0.0
I.DCE,-5.792903692976104
PP.DCE,-9.063101846607003
HC.SHF,-10.457516339869281
