,WGTS
SR.CZC,122.0
AG.SHF,114.0
TA.CZC,0.0
FG.CZC,0.0
RU.SHF,0.0
AL.SHF,0.0
SC.INE,0.0
I.DCE,0.0
AP.CZC,0.0
V.DCE,0.0
CU.SHF,0.0
J.DCE,-31.0
NI.SHF,-66.0
JM.DCE,-86.0
ZC.CZC,-106.0
PP.DCE,-141.0
L.DCE,-142.0
RB.SHF,-171.0
HC.SHF,-178.0
BU.SHF,-203.0
FU.SHF,-228.0
M.DCE,-242.0
MA.CZC,-244.0
RM.CZC,-291.0
C.DCE,-341.0
