,WGTS
V.DCE,6.0
HC.SHF,4.0
BU.SHF,4.0
ZC.CZC,2.0
I.DCE,1.0
TA.CZC,0.0
L.DCE,0.0
EG.DCE,0.0
PP.DCE,0.0
J.DCE,0.0
JM.DCE,-1.0
RB.SHF,-4.0
MA.CZC,-6.0
