,BU.SHF,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,MA.CZC,PP.DCE,RB.SHF,TA.CZC,V.DCE,ZC.CZC
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,0.0,0.0,0.0,134.0,0.0,-467.0,0.0,0.0,-620.0,0.0,750.0,0.0
2013-01-28,0.0,0.0,0.0,-134.0,0.0,-466.0,0.0,0.0,613.0,0.0,747.0,0.0
2013-01-29,0.0,0.0,0.0,-134.0,0.0,-459.0,0.0,0.0,0.0,580.0,745.0,0.0
2013-01-30,0.0,0.0,0.0,-133.0,0.0,-455.0,0.0,0.0,0.0,578.0,745.0,0.0
2013-01-31,0.0,0.0,0.0,-133.0,0.0,-454.0,0.0,0.0,0.0,576.0,741.0,0.0
2013-02-01,0.0,0.0,0.0,-131.0,0.0,0.0,0.0,0.0,-606.0,578.0,742.0,0.0
