,WGTS
L.DCE,379.0
I.DCE,313.0
JM.DCE,229.0
TA.CZC,0.0
V.DCE,0.0
MA.CZC,0.0
ZC.CZC,0.0
PP.DCE,0.0
BU.SHF,0.0
J.DCE,-82.0
RB.SHF,-457.0
HC.SHF,-474.0
