,净值,杠杆倍数,每日PnL,资金占用比例
2016-06-01,0.9835344500000001,1.0000816,468880.0000000007,0.06863316480678434
2016-06-02,0.9772207500000001,1.0005876,-631369.9999999997,0.06911361839175029
2016-06-03,0.9797417500000001,1.000401,252099.99999999965,0.0676474693458761
2016-06-06,0.97759195,1.0003274,-214980.0000000007,0.06779457318567322
2016-06-07,0.98191505,1.000104,432310.00000000105,0.07129770849321436
2016-06-08,0.9853072500000001,1.0002372,339220.00000000035,0.07105869565051917
2016-06-13,0.9935089500000001,1.0001918,820169.9999999986,0.07047104105101419
2016-06-14,0.99969945,0.9998349,619050.0000000014,0.07000990547709114
2016-06-15,1.00057015,1.0007585,87069.99999999895,0.06876011142247247
2016-06-16,0.9917297500000001,1.0000525,-884039.9999999997,0.06806403559034102
2016-06-17,0.9931398,1.00010345,141005.0000000007,0.06797018355321174
2016-06-20,0.99271195,1.0006843,-42785.00000000035,0.0680392565033593
2016-06-21,0.9918281,0.99997505,-88385.00000000102,0.06805115775606681
2016-06-22,0.9801403000000001,0.99975475,-1168779.999999999,0.07011932220315806
2016-06-23,0.9770312,1.00004015,-310910.0000000007,0.07036279957078137
2016-06-24,0.98537365,0.9993449,834244.9999999997,0.06972550463471394
2016-06-27,0.9778246500000001,0.99951485,-754900.0,0.07026874245806751
2016-06-28,0.9764329500000001,0.99903405,-139170.0,0.06778403832029635
2016-06-29,0.97726135,0.99976545,82840.0,0.0677819884107767
2016-06-30,0.97509185,1.00053895,-216950.0,0.06539677621138973
2016-07-01,0.9807012,0.9997289,560935.0,0.0675310502322216
2016-07-04,0.975403,1.00035595,-529820.0,0.06794439939184112
2016-07-05,0.9794237,0.99925275,402070.00000000035,0.07269407969196581
2016-07-06,0.9840162,0.99994115,459249.9999999987,0.07240426072253689
2016-07-07,0.987137,0.9997344,312080.0000000014,0.06709732438354554
2016-07-08,0.98886225,1.0005449,172525.0,0.06324350636299443
2016-07-11,0.99041325,1.0005122,155100.0,0.06312271064628831
2016-07-12,0.9781711000000001,1.00000415,-1224215.0,0.06773887973177699
2016-07-13,0.9751534500000001,0.9998443,-301765.0,0.06536354765498702
2016-07-14,0.9737600000000001,1.00032065,-139345.0,0.06419284474613868
2016-07-15,0.9829662,0.99995795,920620.0,0.06611477332587834
2016-07-18,0.9800765,1.0002634,-288970.0,0.06122744398013829
2016-07-19,0.9776559,1.00015775,-242060.0,0.0652239407546152
2016-07-20,0.9900461,1.0003729,1239020.0,0.06694683207175908
2016-07-21,0.98138095,1.0000597,-866515.0,0.06878556028624766
2016-07-22,0.9847221500000001,0.9996465,334120.0,0.06852919678916536
2016-07-25,0.9846176,1.00097915,-10455.0,0.06860329888476502
2016-07-26,0.990105,0.99948665,548740.0,0.06310017876891846
2016-07-27,0.9860465500000001,1.00035895,-405844.99999999936,0.06720591588703394
2016-07-28,0.9862773,1.0001938,23074.99999999936,0.07098595090853252
2016-07-29,1.000162,0.9993439,1388469.9999999993,0.07243725616450136
2016-08-01,0.9912623,1.000194,-889969.9999999986,0.07441873356829973
