日期,国产重交-山东
2011-01-04,4000.0
2011-01-05,4075.0
2011-01-06,4075.0
2011-01-07,4075.0
2011-01-10,4075.0
2011-01-11,4075.0
2011-01-12,4075.0
2011-01-13,4075.0
2011-01-14,4075.0
2011-01-17,4075.0
2011-01-18,4100.0
2011-01-19,4100.0
2011-01-20,4100.0
2011-01-21,4100.0
2011-01-24,4100.0
2011-01-25,4100.0
2011-01-26,4100.0
2011-01-27,4100.0
2011-01-28,4100.0
2011-01-31,4125.0
2011-02-01,4200.0
2011-02-09,4200.0
2011-02-10,4200.0
2011-02-11,4200.0
2011-02-14,4300.0
2011-02-15,4300.0
2011-02-16,4300.0
2011-02-17,4300.0
2011-02-18,4300.0
2011-02-21,4300.0
2011-02-22,4300.0
2011-02-23,4300.0
2011-02-24,4300.0
2011-02-25,4300.0
2011-02-28,4350.0
2011-03-01,4350.0
2011-03-02,4425.0
2011-03-03,4425.0
2011-03-04,4475.0
2011-03-07,4475.0
2011-03-08,4475.0
2011-03-09,4475.0
2011-03-10,4575.0
2011-03-11,4575.0
2011-03-14,4575.0
2011-03-15,4575.0
2011-03-16,4575.0
2011-03-17,4575.0
2011-03-18,4575.0
2011-03-21,4575.0
2011-03-22,4675.0
2011-03-23,4675.0
2011-03-24,4675.0
2011-03-25,4725.0
2011-03-28,4725.0
2011-03-29,4750.0
2011-03-30,4750.0
2011-03-31,4825.0
2011-04-01,4850.0
2011-04-06,4850.0
2011-04-07,4850.0
2011-04-08,4850.0
2011-04-11,4950.0
2011-04-12,4950.0
2011-04-13,4975.0
2011-04-14,4975.0
2011-04-15,5000.0
2011-04-18,5000.0
2011-04-19,5000.0
2011-04-20,5000.0
2011-04-21,5000.0
2011-04-22,5000.0
2011-04-25,5000.0
2011-04-26,5000.0
2011-04-27,5000.0
2011-04-28,5000.0
2011-04-29,5000.0
2011-05-03,5000.0
2011-05-04,5000.0
2011-05-05,5000.0
2011-05-06,5000.0
2011-05-09,5000.0
2011-05-10,5000.0
2011-05-11,5000.0
2011-05-12,5000.0
2011-05-13,5000.0
2011-05-16,5000.0
2011-05-17,5000.0
2011-05-18,5000.0
2011-05-19,5000.0
2011-05-20,5000.0
2011-05-23,5000.0
2011-05-24,5000.0
2011-05-25,5000.0
2011-05-26,4950.0
2011-05-27,4950.0
2011-05-30,4950.0
2011-05-31,4950.0
2011-06-01,4950.0
2011-06-02,4950.0
2011-06-03,4950.0
2011-06-07,4950.0
2011-06-08,4950.0
2011-06-09,4950.0
2011-06-10,4925.0
2011-06-13,4925.0
2011-06-14,4925.0
2011-06-15,4925.0
2011-06-16,4925.0
2011-06-17,4925.0
2011-06-20,4790.0
2011-06-21,4790.0
2011-06-22,4790.0
2011-06-23,4790.0
2011-06-24,4790.0
2011-06-27,4790.0
2011-06-28,4790.0
2011-06-29,4790.0
2011-06-30,4790.0
2011-07-01,4790.0
2011-07-04,4790.0
2011-07-05,4790.0
2011-07-06,4790.0
2011-07-07,4790.0
2011-07-08,4790.0
2011-07-11,4790.0
2011-07-12,4790.0
2011-07-13,4790.0
2011-07-14,4765.0
2011-07-15,4765.0
2011-07-18,4765.0
2011-07-19,4765.0
2011-07-20,4765.0
2011-07-21,4765.0
2011-07-22,4765.0
2011-07-25,4715.0
2011-07-26,4715.0
2011-07-27,4715.0
2011-07-28,4715.0
2011-07-29,4715.0
2011-08-01,4715.0
2011-08-02,4715.0
2011-08-03,4715.0
2011-08-04,4715.0
2011-08-05,4715.0
2011-08-08,4715.0
2011-08-09,4715.0
2011-08-10,4715.0
2011-08-11,4715.0
2011-08-12,4715.0
2011-08-15,4715.0
2011-08-16,4715.0
2011-08-17,4715.0
2011-08-18,4715.0
2011-08-19,4715.0
2011-08-22,4715.0
2011-08-23,4715.0
2011-08-24,4715.0
2011-08-25,4715.0
2011-08-26,4715.0
2011-08-29,4715.0
2011-08-30,4715.0
2011-08-31,4715.0
2011-09-01,4715.0
2011-09-02,4715.0
2011-09-05,4715.0
2011-09-06,4665.0
2011-09-07,4665.0
2011-09-08,4665.0
2011-09-09,4665.0
2011-09-13,4665.0
2011-09-14,4665.0
2011-09-15,4665.0
2011-09-16,4665.0
2011-09-19,4665.0
2011-09-20,4665.0
2011-09-21,4665.0
2011-09-22,4665.0
2011-09-23,4665.0
2011-09-26,4665.0
2011-09-27,4665.0
2011-09-28,4665.0
2011-09-29,4665.0
2011-09-30,4665.0
2011-10-10,4705.0
2011-10-11,4705.0
2011-10-12,4705.0
2011-10-13,4705.0
2011-10-14,4705.0
2011-10-17,4705.0
2011-10-18,4705.0
2011-10-19,4705.0
2011-10-20,4705.0
2011-10-21,4765.0
2011-10-24,4765.0
2011-10-25,4765.0
2011-10-26,4765.0
2011-10-27,4765.0
2011-10-28,4765.0
2011-10-31,4765.0
2011-11-01,4790.0
2011-11-02,4790.0
2011-11-03,4790.0
2011-11-04,4790.0
2011-11-07,4790.0
2011-11-08,4790.0
2011-11-09,4790.0
2011-11-10,4790.0
2011-11-11,4790.0
2011-11-14,4790.0
2011-11-15,4790.0
2011-11-16,4790.0
2011-11-17,4790.0
2011-11-18,4790.0
2011-11-21,4790.0
2011-11-22,4790.0
2011-11-23,4790.0
2011-11-24,4790.0
2011-11-25,4790.0
2011-11-28,4790.0
2011-11-29,4790.0
2011-11-30,4790.0
2011-12-01,4755.0
2011-12-02,4755.0
2011-12-05,4755.0
2011-12-06,4755.0
2011-12-07,4755.0
2011-12-08,4755.0
2011-12-09,4755.0
2011-12-12,4755.0
2011-12-13,4755.0
2011-12-14,4755.0
2011-12-15,4755.0
2011-12-16,4755.0
2011-12-19,4715.0
2011-12-20,4500.0
2011-12-21,4500.0
2011-12-22,4500.0
2011-12-23,4500.0
2011-12-26,4500.0
2011-12-27,4500.0
2011-12-28,4500.0
2011-12-29,4500.0
2011-12-30,4500.0
2012-01-04,4400.0
2012-01-05,4400.0
2012-01-06,4400.0
2012-01-09,4400.0
2012-01-10,4400.0
2012-01-11,4400.0
2012-01-12,4400.0
2012-01-13,4400.0
2012-01-16,4400.0
2012-01-17,4400.0
2012-01-18,4400.0
2012-01-19,4500.0
2012-01-20,4500.0
2012-01-30,4500.0
2012-01-31,4575.0
2012-02-01,4600.0
2012-02-02,4600.0
2012-02-03,4675.0
2012-02-06,4675.0
2012-02-07,4675.0
2012-02-08,4675.0
2012-02-09,4775.0
2012-02-10,4775.0
2012-02-13,4775.0
2012-02-14,4800.0
2012-02-15,4800.0
2012-02-16,4850.0
2012-02-17,4850.0
2012-02-20,4850.0
2012-02-21,4950.0
2012-02-22,4950.0
2012-02-23,4950.0
2012-02-24,4950.0
2012-02-27,4950.0
2012-02-28,4950.0
2012-02-29,5025.0
2012-03-01,5025.0
2012-03-02,5125.0
2012-03-05,5125.0
2012-03-06,5125.0
2012-03-07,5125.0
2012-03-08,5125.0
2012-03-09,5125.0
2012-03-12,5125.0
2012-03-13,5125.0
2012-03-14,5125.0
2012-03-15,5125.0
2012-03-16,5125.0
2012-03-19,5125.0
2012-03-20,5125.0
2012-03-21,5125.0
2012-03-22,5125.0
2012-03-23,5125.0
2012-03-26,5150.0
2012-03-27,5150.0
2012-03-28,5150.0
2012-03-29,5150.0
2012-03-30,5150.0
2012-04-05,5150.0
2012-04-06,5150.0
2012-04-09,5150.0
2012-04-10,5150.0
2012-04-11,5150.0
2012-04-12,5150.0
2012-04-13,5150.0
2012-04-16,5150.0
2012-04-17,5150.0
2012-04-18,5150.0
2012-04-19,5150.0
2012-04-20,5150.0
2012-04-23,5150.0
2012-04-24,5150.0
2012-04-25,5150.0
2012-04-26,5150.0
2012-04-27,5150.0
2012-05-02,5150.0
2012-05-03,5150.0
2012-05-04,5150.0
2012-05-07,5150.0
2012-05-08,5150.0
2012-05-09,5150.0
2012-05-10,5150.0
2012-05-11,5100.0
2012-05-14,5100.0
2012-05-15,5100.0
2012-05-16,5100.0
2012-05-17,5100.0
2012-05-18,5100.0
2012-05-21,5100.0
2012-05-22,5075.0
2012-05-23,5075.0
2012-05-24,5075.0
2012-05-25,5075.0
2012-05-28,5075.0
2012-05-29,4950.0
2012-05-30,4950.0
2012-05-31,4825.0
2012-06-01,4825.0
2012-06-04,4825.0
2012-06-05,4825.0
2012-06-06,4825.0
2012-06-07,4825.0
2012-06-08,4825.0
2012-06-11,4825.0
2012-06-12,4825.0
2012-06-13,4825.0
2012-06-14,4825.0
2012-06-15,4825.0
2012-06-18,4825.0
2012-06-19,4825.0
2012-06-20,4875.0
2012-06-21,4875.0
2012-06-25,4875.0
2012-06-26,4875.0
2012-06-27,4875.0
2012-06-28,4875.0
2012-06-29,4875.0
2012-07-02,4875.0
2012-07-03,4875.0
2012-07-04,4875.0
2012-07-05,4875.0
2012-07-06,4875.0
2012-07-09,4875.0
2012-07-10,4875.0
2012-07-11,4875.0
2012-07-12,4875.0
2012-07-13,4875.0
2012-07-16,4875.0
2012-07-17,4875.0
2012-07-18,4875.0
2012-07-19,4875.0
2012-07-20,4875.0
2012-07-23,4875.0
2012-07-24,4875.0
2012-07-25,4875.0
2012-07-26,4875.0
2012-07-27,4875.0
2012-07-30,4875.0
2012-07-31,4875.0
2012-08-01,4875.0
2012-08-02,4875.0
2012-08-03,4875.0
2012-08-06,4875.0
2012-08-07,4875.0
2012-08-08,4900.0
2012-08-09,4900.0
2012-08-10,4900.0
2012-08-13,4900.0
2012-08-14,4915.0
2012-08-15,4915.0
2012-08-16,4950.0
2012-08-17,4950.0
2012-08-20,4950.0
