日期,LL神华煤化工价格
2009-12-17,11450.0
2009-12-18,11450.0
2009-12-21,11475.0
2009-12-22,11475.0
2009-12-23,11475.0
2009-12-24,11550.0
2009-12-25,11575.0
2009-12-28,11600.0
2009-12-29,11625.0
2009-12-30,11625.0
2009-12-31,11650.0
2010-01-04,11900.0
2010-01-05,12200.0
2010-01-06,12200.0
2010-01-07,12200.0
2010-01-08,12100.0
2010-01-11,12000.0
2010-01-12,11950.0
2010-01-13,11725.0
2010-01-14,11725.0
2010-01-15,11700.0
2010-01-18,11600.0
2010-01-19,11600.0
2010-01-20,11600.0
2010-01-21,11650.0
2010-01-22,11650.0
2010-01-25,11700.0
2010-01-26,11675.0
2010-01-27,11600.0
2010-01-28,11525.0
2010-01-29,11400.0
2010-02-01,11300.0
2010-02-02,11300.0
2010-02-03,11250.0
2010-02-04,11250.0
2010-02-05,11250.0
2010-02-08,11250.0
2010-02-09,11250.0
2010-02-10,11250.0
2010-02-11,11250.0
2010-02-12,11250.0
2010-02-22,11550.0
2010-02-23,11675.0
2010-02-24,11650.0
2010-02-25,11600.0
2010-02-26,11525.0
2010-03-01,11525.0
2010-03-02,11525.0
2010-03-03,11500.0
2010-03-04,11425.0
2010-03-05,11375.0
2010-03-08,11250.0
2010-03-09,11200.0
2010-03-10,11150.0
2010-03-11,11150.0
2010-03-12,11050.0
2010-03-15,10950.0
2010-03-16,10775.0
2010-03-17,10775.0
2010-03-18,10950.0
2010-03-19,11000.0
2010-03-22,11100.0
2010-03-23,11150.0
2010-03-24,11150.0
2010-03-25,11075.0
2010-03-26,11075.0
2010-03-29,11050.0
2010-03-30,11050.0
2010-03-31,11025.0
2010-04-01,11025.0
2010-04-02,11025.0
2010-04-06,11125.0
2010-04-07,11200.0
2010-04-08,11175.0
2010-04-09,11175.0
2010-04-12,11275.0
2010-04-13,11275.0
2010-04-14,11275.0
2010-04-15,11300.0
2010-04-16,11300.0
2010-04-19,11300.0
2010-04-20,11300.0
2010-04-21,11300.0
2010-04-22,11300.0
2010-04-23,11250.0
2010-04-26,11275.0
2010-04-27,11125.0
2010-04-28,11125.0
2010-04-29,11125.0
2010-04-30,11125.0
2010-05-04,11125.0
2010-05-05,11050.0
2010-05-06,11000.0
2010-05-07,10975.0
2010-05-10,10850.0
2010-05-11,10850.0
2010-05-12,10800.0
2010-05-13,10775.0
2010-05-14,10650.0
2010-05-17,10575.0
2010-05-18,10375.0
2010-05-19,9950.0
2010-05-20,10100.0
2010-05-21,10100.0
2010-05-24,10125.0
2010-05-25,10125.0
2010-05-26,10100.0
2010-05-27,10000.0
2010-05-28,10050.0
2010-05-31,10100.0
2010-06-01,10050.0
2010-06-02,10025.0
2010-06-03,9950.0
2010-06-04,9900.0
2010-06-07,9600.0
2010-06-08,9350.0
2010-06-09,9375.0
2010-06-10,9375.0
2010-06-11,9500.0
2010-06-17,9525.0
2010-06-18,9500.0
2010-06-21,9500.0
2010-06-22,9500.0
2010-06-23,9475.0
2010-06-24,9475.0
2010-06-25,9475.0
2010-06-28,9475.0
2010-06-29,9475.0
2010-06-30,9325.0
2010-07-01,9200.0
2010-07-02,9050.0
2010-07-05,8900.0
2010-07-06,8850.0
2010-07-07,8750.0
2010-07-08,8750.0
2010-07-09,8825.0
2010-07-12,8950.0
2010-07-13,8975.0
2010-07-14,8975.0
2010-07-15,8975.0
2010-07-16,8900.0
2010-07-19,8900.0
2010-07-20,8975.0
2010-07-21,9000.0
2010-07-22,9025.0
2010-07-23,9350.0
2010-07-26,9550.0
2010-07-27,9550.0
2010-07-28,9550.0
2010-07-29,9550.0
2010-07-30,9550.0
2010-08-02,9750.0
2010-08-03,10050.0
2010-08-04,10150.0
2010-08-05,10075.0
2010-08-06,9950.0
2010-08-09,9925.0
2010-08-10,9925.0
2010-08-11,9825.0
2010-08-12,9650.0
2010-08-13,9525.0
2010-08-16,9600.0
2010-08-17,9700.0
2010-08-18,9825.0
2010-08-19,9775.0
2010-08-20,9750.0
2010-08-23,9600.0
2010-08-24,9600.0
2010-08-25,9550.0
2010-08-26,9650.0
2010-08-27,9700.0
2010-08-30,9775.0
2010-08-31,9775.0
2010-09-01,9750.0
2010-09-02,9800.0
2010-09-03,9800.0
2010-09-06,9825.0
2010-09-07,9825.0
2010-09-08,9825.0
2010-09-09,9800.0
2010-09-10,9800.0
2010-09-13,9800.0
2010-09-14,9800.0
2010-09-15,9800.0
2010-09-16,9800.0
2010-09-17,9800.0
2010-09-20,9825.0
2010-09-21,9800.0
2010-09-27,9900.0
2010-09-28,9950.0
2010-09-29,9975.0
2010-09-30,9975.0
2010-10-08,10400.0
2010-10-11,10900.0
2010-10-12,10900.0
2010-10-13,10800.0
2010-10-14,10750.0
2010-10-15,10700.0
2010-10-18,10650.0
2010-10-19,10600.0
2010-10-20,10550.0
2010-10-21,10500.0
2010-10-22,10500.0
2010-10-25,10650.0
2010-10-26,10800.0
2010-10-27,10900.0
2010-10-28,10900.0
2010-10-29,10950.0
2010-11-01,11200.0
2010-11-02,11525.0
2010-11-03,11550.0
2010-11-04,11600.0
2010-11-05,11700.0
2010-11-08,11800.0
2010-11-09,12000.0
2010-11-10,12400.0
2010-11-11,12200.0
2010-11-12,11800.0
2010-11-15,11400.0
2010-11-16,11300.0
2010-11-17,10700.0
2010-11-18,10800.0
2010-11-19,11050.0
2010-11-22,11050.0
2010-11-23,10800.0
2010-11-24,10750.0
2010-11-25,10800.0
2010-11-26,10500.0
2010-11-29,10550.0
2010-11-30,10500.0
2010-12-01,10550.0
2010-12-02,10700.0
2010-12-03,10750.0
2010-12-06,10800.0
2010-12-07,10700.0
2010-12-08,10700.0
2010-12-09,10700.0
2010-12-10,10700.0
2010-12-13,10850.0
2010-12-14,10900.0
2010-12-15,10900.0
2010-12-16,10850.0
2010-12-17,10850.0
2010-12-20,10850.0
2010-12-21,10850.0
2010-12-22,10850.0
2010-12-23,10850.0
2010-12-24,10900.0
2010-12-27,10950.0
