日期,现货（常州sg-5低端价）
2014/5/6,6030
2014/5/7,6030
2014/5/8,6030
2014/5/9,6030
2014/5/12,6030
2014/5/13,6030
2014/5/14,6030
2014/5/15,6030
2014/5/16,6030
2014/5/19,6030
2014/5/20,6000
2014/5/21,6000
2014/5/22,6000
2014/5/23,6000
2014/5/26,6000
2014/5/27,6000
2014/5/28,6000
2014/5/29,6000
2014/5/30,6000
2014/6/3,6000
2014/6/4,6000
2014/6/5,6000
2014/6/6,6000
2014/6/9,6000
2014/6/10,5980
2014/6/11,5980
2014/6/12,5980
2014/6/13,5980
2014/6/16,5980
2014/6/17,5980
2014/6/18,5980
2014/6/19,5980
2014/6/20,5980
2014/6/23,6000
2014/6/24,6000
2014/6/25,6000
2014/6/26,6000
2014/6/27,6000
2014/6/30,6000
2014/7/1,6000
2014/7/2,6000
2014/7/3,5990
2014/7/4,5990
2014/7/7,5990
2014/7/8,5990
2014/7/9,5990
2014/7/10,5990
2014/7/11,5990
2014/7/14,5990
2014/7/15,5990
2014/7/16,5990
2014/7/17,5990
2014/7/18,5990
2014/7/21,5990
2014/7/22,5990
2014/7/23,5990
2014/7/24,5990
2014/7/25,5980
2014/7/28,5980
2014/7/29,5980
2014/7/30,5980
2014/7/31,5980
2014/8/1,5980
2014/8/4,5980
2014/8/5,5980
2014/8/6,5980
2014/8/7,5980
2014/8/8,5980
2014/8/11,5980
2014/8/12,5980
2014/8/13,5980
2014/8/14,5980
2014/8/15,5980
2014/8/18,5980
2014/8/19,5980
2014/8/20,5980
2014/8/21,5980
2014/8/22,5980
2014/8/25,5980
2014/8/26,5980
2014/8/27,5980
2014/8/28,5980
2014/8/29,5980
2014/9/1,5980
2014/9/2,6000
2014/9/3,6000
2014/9/4,6000
2014/9/5,6000
2014/9/9,6000
2014/9/10,6000
2014/9/11,6000
2014/9/12,6000
2014/9/15,6000
2014/9/16,6000
2014/9/17,6000
2014/9/18,6000
2014/9/19,6000
2014/9/22,6000
2014/9/23,6000
