date,MOPJ
2008/9/22,862.21
2008/9/23,854.72
2008/9/24,867.09
2008/9/25,853.78
2008/9/26,827.44
2008/9/29,829.22
2008/9/30,765.14
2008/10/1,765.14
2008/10/2,794.07
2008/10/3,750.01
2008/10/6,715.3
2008/10/7,708.18
2008/10/8,676.59
2008/10/9,670.8
2008/10/10,614.29
2008/10/13,596.04
2008/10/14,604.5
2008/10/15,546.2
2008/10/16,480.79
2008/10/17,475.89
2008/10/20,475.45
2008/10/21,489.24
2008/10/22,450.08
2008/10/23,398.02
2008/10/24,378.88
2008/10/27,378.88
2008/10/28,370.43
2008/10/29,358.41
2008/10/30,365.98
2008/10/31,328.15
2008/11/3,329.04
2008/11/4,279.2
2008/11/5,345.06
2008/11/6,360.64
2008/11/7,360.64
2008/11/10,360.64
2008/11/11,339.72
2008/11/12,334.38
2008/11/13,317.47
2008/11/14,373.99
2008/11/17,303.23
2008/11/18,274.75
2008/11/19,265.41
2008/11/20,275.28
2008/11/21,275.28
2008/11/24,275.28
2008/11/25,275.28
2008/11/26,295.22
2008/11/28,350.4
2008/12/1,342.39
2008/12/2,337.5
2008/12/3,388.05
2008/12/4,388.05
2008/12/5,359.57
2008/12/8,359.57
2008/12/9,271.9
2008/12/10,291.66
2008/12/11,301.9
2008/12/12,325.04
2008/12/15,329.04
2008/12/16,321.03
2008/12/17,320.14
2008/12/18,289.44
2008/12/19,287.21
2008/12/22,288.99
2008/12/23,295.67
2008/12/24,297
2008/12/26,276.09
2008/12/29,304.83
2008/12/30,294.33
2008/12/31,306.35
2009/1/2,333.49
2009/1/5,354.85
2009/1/6,377.99
2009/1/7,400.69
2009/1/8,345.95
2009/1/9,344.97
2009/1/12,360.64
2009/1/13,374.88
2009/1/14,431.39
2009/1/15,390.45
2009/1/16,394.01
2009/1/20,386.45
2009/1/21,392.23
2009/1/22,432.28
2009/1/23,431.39
2009/1/26,431.75
2009/1/27,431.75
2009/1/28,402.02
2009/1/29,415.37
2009/1/30,430.06
2009/2/2,430.06
2009/2/3,437.18
2009/2/4,422.49
2009/2/5,439.4
2009/2/6,455.87
2009/2/9,451.86
2009/2/10,439.85
2009/2/11,427.39
2009/2/12,419.82
2009/2/13,450.53
2009/2/17,426.94
2009/2/18,417.15
2009/2/19,416.71
2009/2/20,414.35
2009/2/23,400.69
2009/2/24,387.78
2009/2/25,398.91
2009/2/26,420.71
2009/2/27,437.62
2009/3/2,428.9
2009/3/3,402.47
2009/3/4,402.47
2009/3/5,414.93
2009/3/6,406.2
2009/3/9,417.15
2009/3/10,401.58
2009/3/11,406.29
2009/3/12,396.24
2009/3/13,411.37
2009/3/16,403.89
2009/3/17,406.47
2009/3/18,448.66
2009/3/19,434.06
2009/3/20,457.47
2009/3/23,459.87
2009/3/24,473.67
2009/3/25,469.93
2009/3/26,484.35
2009/3/27,477.67
2009/3/30,466.55
2009/3/31,450.44
2009/4/1,443.41
2009/4/2,454.09
2009/4/3,466.99
2009/4/6,475.45
2009/4/7,493.25
2009/4/8,462.1
2009/4/9,488.35
2009/4/13,475.09
2009/4/14,469.93
2009/4/15,474.2
2009/4/16,475.8
2009/4/17,475.89
2009/4/20,463.43
2009/4/21,446.52
2009/4/22,457.2
2009/4/23,456.76
2009/4/24,458.09
2009/4/27,446.52
2009/4/28,449.19
2009/4/29,446.52
2009/4/30,442.07
2009/5/1,440.29
2009/5/4,455.42
2009/5/5,487.02
2009/5/6,482.12
2009/5/7,506.6
2009/5/8,495.03
2009/5/11,497.7
2009/5/12,494.58
2009/5/13,504.37
2009/5/14,494.14
2009/5/15,501.7
2009/5/18,499.48
2009/5/19,509.27
2009/5/20,510.6
2009/5/21,525.29
2009/5/22,515.05
2009/5/26,519.06
2009/5/27,548.87
2009/5/28,558.22
2009/5/29,577.35
2009/6/1,618.29
2009/6/2,611.62
2009/6/3,603.61
2009/6/4,590.7
2009/6/5,611.17
2009/6/8,585.81
2009/6/9,573.35
2009/6/10,600.76
2009/6/11,610.73
