,WGTS
BU.SHF,5.0
I.DCE,2.0
J.DCE,1.0
TA.CZC,0.0
JM.DCE,0.0
HC.SHF,0.0
V.DCE,0.0
MA.CZC,0.0
ZC.CZC,0.0
PP.DCE,0.0
EG.DCE,-3.0
L.DCE,-4.0
RB.SHF,-5.0
