,HC.SHF,I.DCE,J.DCE,JM.DCE,RB.SHF,ZC.CZC
2014-08-21,0.0,-4.0,2.0,5.0,-8.0,0.0
2014-08-22,0.0,-4.0,2.0,5.0,-8.0,0.0
2014-08-25,0.0,-4.0,2.0,5.0,-8.0,0.0
2014-08-26,0.0,-4.0,2.0,5.0,-8.0,0.0
2014-08-27,0.0,-4.0,2.0,5.0,-8.0,0.0
2014-08-28,0.0,-4.0,2.0,5.0,-8.0,0.0
2014-08-29,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-01,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-02,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-03,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-04,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-05,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-09,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-10,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-11,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-12,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-15,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-16,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-17,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-18,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-19,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-22,0.0,-4.0,2.0,5.0,-9.0,0.0
2014-09-23,0.0,-4.0,2.0,5.0,-10.0,0.0
2014-09-24,0.0,-4.0,2.0,5.0,-10.0,0.0
2014-09-25,0.0,-4.0,2.0,5.0,-10.0,0.0
2014-09-26,-9.0,-5.0,2.0,5.0,0.0,0.0
2014-09-29,-9.0,-4.0,2.0,5.0,0.0,0.0
2014-09-30,-9.0,-5.0,2.0,5.0,0.0,0.0
2014-10-08,-9.0,-5.0,2.0,5.0,0.0,0.0
2014-10-09,-9.0,-5.0,0.0,5.0,10.0,0.0
2014-10-10,-9.0,-4.0,0.0,5.0,10.0,0.0
2014-10-13,-9.0,-4.0,0.0,5.0,10.0,0.0
2014-10-14,-9.0,-4.0,0.0,5.0,9.0,0.0
