date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2017-02-03,0.24558688367123868,0.36718906131356865,0.2307692307692308,0.3701701991298424,0.008926616333342241,0.3535079828045982,12
2017-02-06,0.22562880188096882,0.3930557474094385,0.27272727272727276,0.39858746184498917,0.021409859070211402,0.3734982075563159,12
2017-02-07,0.18239136204531622,0.414377291588818,0.33566433566433573,0.42371682197703936,0.012369344272155913,0.40289714762898937,12
2017-02-08,0.3114959806095705,0.4319152522150866,0.3006993006993008,0.4552302325777729,0.016127728037074428,0.430116436641518,12
2017-02-09,0.38287672724800337,0.45301529771086363,0.45454545454545464,0.482342241666339,0.057517883691642666,0.47369493400562296,12
2017-02-10,0.4188174625394344,0.4659675713360415,0.3986013986013987,0.5046424225406582,0.08897606532931888,0.5134545876912104,12
2017-02-13,0.15081575499714947,0.4617168413578395,0.2657342657342658,0.5074975029672033,0.06641622378043828,0.5208652472743535,12
2017-02-14,0.13595525601018557,0.45155765645480045,0.3566433566433567,0.5122937034645009,0.09648507277992055,0.5204000000976692,12
2017-02-15,-0.08250136141169664,0.4333479124534034,-0.034965034965034975,0.4958783372008854,0.051628533802479004,0.5191562682996412,12
2017-02-16,-0.12016542083231982,0.40812893031868025,-0.06993006993006995,0.4689953032791249,0.03212945428979711,0.5010534247392587,12
2017-02-17,-0.17210828135231612,0.37836315551248917,-0.1258741258741259,0.4411724554042982,0.0035665691784586007,0.47652632462275435,12
2017-02-20,-0.22255187833214093,0.3476124944361456,-0.20279720279720284,0.40806526579786767,-0.0013589362831284216,0.45825621734527533,12
2017-02-21,-0.28486675987329035,0.3132404856694033,-0.39160839160839167,0.36754939174617113,-0.026586701680061886,0.43774662511718554,12
2017-02-22,-0.231687559985165,0.27942044994227927,-0.45454545454545464,0.3215760380295144,-0.016840655526025483,0.42095360232277784,12
2017-02-23,-0.4173902451512085,0.22689774753561495,-0.6573426573426575,0.2603356981670531,-0.06163246627998782,0.37789084865836814,12
2017-02-24,-0.39701495498443745,0.17436945581230961,-0.6923076923076924,0.19987213574107288,-0.05960309709847907,0.33486878266140074,12
2017-02-27,-0.4423556483708334,0.11651751736631899,-0.6503496503496505,0.14269768476911324,-0.08253708237597109,0.28049137048825634,12
2017-02-28,-0.36903164179333575,0.07043140166937199,-0.5804195804195805,0.09296212301489917,-0.06296490585011758,0.22656432278225522,12
2017-03-01,-0.40270730640335606,0.027806699000690584,-0.5734265734265735,0.0429879024969156,-0.07118051446134924,0.16128984200680976,12
2017-03-02,-0.39612258964972885,-0.015772771631367904,-0.6993006993006995,-0.007288684077760637,-0.06264049912237155,0.09770761722697643,12
2017-03-03,-0.3426535326094073,-0.06105151492205493,-0.5734265734265735,-0.04624701179922161,-0.051820862866003625,0.025428948144034135,12
2017-03-06,-0.3185737718318029,-0.10890460668859307,-0.2867132867132868,-0.06165155582823853,-0.030399324939939444,-0.012148157382609154,12
2017-03-07,-0.36511311532620844,-0.14100085495308715,-0.3636363636363637,-0.08529978996044058,-0.038696269389636086,-0.04719869488769559,12
2017-03-08,-0.16593211873086927,-0.14019868761471102,-0.16783216783216787,-0.08939303643853516,-0.030922323454939393,-0.037330412101157694,12
2017-03-09,0.11914458518686905,-0.11622621886271454,0.2867132867132868,-0.06654526114727978,0.0313081351461582,-0.0077901341344146936,12
2017-03-10,-0.15678527004998533,-0.10144545806033545,-0.11188811188811192,-0.05391815769103838,-0.059645745812480035,0.018456000704662263,12
2017-03-13,-0.3789241409299153,-0.10608094379785837,-0.2797202797202798,-0.05104043831619517,-0.11490637816668597,0.004296324856986685,12
2017-03-14,-0.22495731170445132,-0.10100668935711357,0.06993006993006995,-0.0323412480498614,0.017021118396358628,0.016975807223471546,12
2017-03-15,-0.344106970465859,-0.10528841061136283,0.2587412587412588,-0.003645458243407872,-0.006231344677881376,0.029336553795231115,12
2017-03-16,-0.37526770684888716,-0.106639607294055,-0.034965034965034975,0.02013355911519774,0.0239050863990818,0.053785979636093634,12
2017-03-17,-0.34397543534068525,-0.0967822710392188,0.3006993006993008,0.06224347629894925,0.1258773591855081,0.11483251777073135,12
2017-03-20,-0.33714903780121663,-0.07791370639345527,0.3846153846153847,0.10790611865977244,0.09600215041576346,0.17193037075898804,12
2017-03-21,-0.35915868714662746,-0.0901384475847421,0.3006993006993008,0.12924114366011372,0.07938832066749443,0.21574105645633843,12
2017-03-22,-0.5941527553968754,-0.1251372863067486,-0.32867132867132876,0.112534459293278,-0.04587321458417715,0.20480822096822693,12
2017-03-23,-0.41144385180697896,-0.14371211874615544,-0.06293706293706294,0.11319246787646828,-0.0055177255951604845,0.20634414888578725,12
2017-03-24,-0.453499104152303,-0.1692491812682134,-0.04195804195804197,0.10775002244107096,-0.017006697986332545,0.19854069569460908,12
2017-03-27,-0.34631650288995924,-0.2090173972895586,0.1328671328671329,0.0949731307471942,-0.009549783777084576,0.18334011711357318,12
2017-03-28,-0.23970093871516035,-0.2212983254170415,0.20279720279720284,0.10638527500351036,0.02259466083747025,0.19975087898377394,12
