date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2007-10-08,1.0,,0.9999999999999998,,,,2
2007-10-09,-1.0000000000000002,,-0.9999999999999998,,,,2
2007-10-10,-1.0,,-0.9999999999999998,,,,2
2007-10-11,1.0000000000000002,,0.9999999999999998,,,,2
2007-10-12,-1.0,,-0.9999999999999998,,,,2
2007-10-15,1.0,,0.9999999999999998,,,,2
2007-10-16,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-10-17,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-10-18,0.9999999999999999,,0.9999999999999998,,,,2
2007-10-19,-1.0,,-0.9999999999999998,,,,2
2007-10-22,-0.9999999999999997,,-0.9999999999999998,,,,2
2007-10-23,1.0,,0.9999999999999998,,,,2
2007-10-24,-1.0,,-0.9999999999999998,,,,2
2007-10-25,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-10-26,-1.0000000000000002,,-0.9999999999999998,,,,2
2007-10-29,-1.0,,-0.9999999999999998,,,,2
2007-10-30,-0.9999999999999999,,-0.9999999999999998,,,,2
2007-10-31,-1.0,,-0.9999999999999998,,,,2
2007-11-01,1.0,,0.9999999999999998,,,,2
2007-11-02,-1.0000000000000002,,-0.9999999999999998,,,,2
2007-11-05,-1.0,,-0.9999999999999998,,,,2
2007-11-06,0.9999999999999998,,0.9999999999999998,,,,2
2007-11-07,-1.0000000000000002,,-0.9999999999999998,,,,2
2007-11-08,1.0,,0.9999999999999998,,,,2
2007-11-09,-1.0,,-0.9999999999999998,,,,2
2007-11-12,1.0000000000000002,,0.9999999999999998,,,,2
2007-11-13,-1.0,,-0.9999999999999998,,,,2
2007-11-14,1.0,,0.9999999999999998,,,,2
2007-11-15,1.0,,0.9999999999999998,,,,2
2007-11-16,1.0,-0.2379488666529056,0.9999999999999998,-0.23794886665290566,,,2
2007-11-19,-1.0,-0.2743703826181941,-0.9999999999999998,-0.27437038261819413,,,2
2007-11-20,1.0,-0.2379488666529056,0.9999999999999998,-0.23794886665290566,,,2
2007-11-21,0.9999999999999999,-0.20241596335818532,0.9999999999999998,-0.20241596335818532,,,2
2007-11-22,1.0,-0.16761634196950512,0.9999999999999998,-0.16761634196950514,,,2
2007-11-23,1.0000000000000002,-0.16761634196950512,0.9999999999999998,-0.16761634196950514,,,2
2007-11-26,-0.9999999999999999,-0.16761634196950512,-0.9999999999999998,-0.16761634196950514,,,2
2007-11-27,-1.0,-0.16761634196950512,-0.9999999999999998,-0.16761634196950514,,,2
2007-11-28,1.0,-0.13340872679897547,0.9999999999999998,-0.13340872679897547,,,2
2007-11-29,1.0,-0.13340872679897547,0.9999999999999998,-0.13340872679897547,,,2
2007-11-30,1.0000000000000002,-0.13340872679897547,0.9999999999999998,-0.13340872679897547,,,2
2007-12-03,-1.0,-0.16761634196950512,-0.9999999999999998,-0.16761634196950514,,,2
2007-12-04,-1.0,-0.16761634196950512,-0.9999999999999998,-0.16761634196950514,,,2
2007-12-05,1.0,-0.13340872679897547,0.9999999999999998,-0.13340872679897547,,,2
2007-12-06,0.9999999999999999,-0.13340872679897547,0.9999999999999998,-0.13340872679897547,,,2
2007-12-07,-0.9999999999999998,-0.13340872679897547,-0.9999999999999998,-0.13340872679897547,,,2
2007-12-10,-1.0000000000000002,-0.13340872679897547,-0.9999999999999998,-0.13340872679897547,,,2
2007-12-11,0.9999999999999998,-0.13340872679897547,0.9999999999999998,-0.13340872679897547,,,2
2007-12-12,1.0,-0.13340872679897547,0.9999999999999998,-0.13340872679897547,,,2
2007-12-13,1.0,-0.09966273091110806,0.9999999999999998,-0.09966273091110803,,,2
2007-12-14,-1.0,-0.09966273091110806,-0.9999999999999998,-0.09966273091110803,,,2
2007-12-17,-1.0,-0.13340872679897547,-0.9999999999999998,-0.13340872679897547,,,2
2007-12-18,1.0000000000000002,-0.09966273091110806,0.9999999999999998,-0.09966273091110803,,,2
2007-12-19,-1.0000000000000002,-0.09966273091110806,-0.9999999999999998,-0.09966273091110803,,,2
2007-12-20,0.9999999999999998,-0.09966273091110806,0.9999999999999998,-0.09966273091110803,,,2
2007-12-21,0.9999999999999999,-0.0662561767111637,0.9999999999999998,-0.06625617671116367,,,2
2007-12-24,0.9999999999999999,-0.033072767267682726,0.9999999999999998,-0.03307276726768268,,,2
2007-12-25,-1.0,-0.033072767267682726,-0.9999999999999998,-0.03307276726768268,,,2
2007-12-26,-1.0,-0.0662561767111637,-0.9999999999999998,-0.06625617671116367,,,2
2007-12-27,1.0,-0.033072767267682726,0.9999999999999998,-0.03307276726768268,,,2
2007-12-28,-0.9999999999999999,-0.033072767267682726,-0.9999999999999998,-0.03307276726768268,,,2
2008-01-02,-1.0000000000000002,-0.0662561767111637,-0.9999999999999998,-0.06625617671116367,,,2
2008-01-03,-1.0,-0.0662561767111637,-0.9999999999999998,-0.06625617671116367,,,2
2008-01-04,-1.0,-0.0662561767111637,-0.9999999999999998,-0.06625617671116367,,,2
2008-01-07,0.9999999999999999,-0.0662561767111637,0.9999999999999998,-0.06625617671116367,,,2
2008-01-08,0.9999999999999999,-0.033072767267682726,0.9999999999999998,-0.03307276726768268,,,2
2008-01-09,-1.0,-0.0662561767111637,-0.9999999999999998,-0.06625617671116367,,,2
2008-01-10,1.0,-0.033072767267682726,0.9999999999999998,-0.03307276726768268,,,2
2008-01-11,0.9999999999999999,-1.834887153408517e-18,0.9999999999999998,4.770706598862146e-17,,,2
2008-01-14,1.0,0.0,0.9999999999999998,4.770706598862146e-17,,,2
2008-01-15,-0.9999999999999998,3.669774306817034e-18,-0.9999999999999998,4.770706598862146e-17,,,2
2008-01-16,-1.0,-1.834887153408517e-18,-0.9999999999999998,4.770706598862146e-17,,,2
2008-01-17,0.9999999999999996,-9.174435767042585e-18,0.9999999999999998,4.770706598862146e-17,,,2
2008-01-18,1.0,0.03307276726768272,0.9999999999999998,0.033072767267682775,,,2
2008-01-21,-0.9999999999999999,0.03307276726768272,-0.9999999999999998,0.033072767267682775,,,2
2008-01-22,1.0,0.0662561767111637,0.9999999999999998,0.06625617671116377,,,2
2008-01-23,-1.0000000000000002,0.0662561767111637,-0.9999999999999998,0.06625617671116377,,,2
2008-01-24,0.9999999999999998,0.09966273091110806,0.9999999999999998,0.09966273091110814,,,2
2008-01-25,-1.0,0.09966273091110806,-0.9999999999999998,0.09966273091110814,,,2
2008-01-28,-0.9999999999999999,0.0662561767111637,-0.9999999999999998,0.06625617671116377,,,2
2008-01-29,1.0,0.09966273091110806,0.9999999999999998,0.09966273091110814,,,2
2008-01-30,0.9999999999999998,0.13340872679897547,0.9999999999999998,0.13340872679897556,,,2
2008-01-31,1.0,0.13340872679897547,0.9999999999999998,0.13340872679897556,,,2
2008-02-01,1.0000000000000002,0.16761634196950512,0.9999999999999998,0.16761634196950523,,,2
2008-02-04,1.0,0.16761634196950512,0.9999999999999998,0.16761634196950523,,,2
2008-02-05,-0.9999999999999998,0.16761634196950512,-0.9999999999999998,0.16761634196950523,,,2
2008-02-13,-1.0,0.13340872679897547,-0.9999999999999998,0.13340872679897556,,,2
2008-02-14,-0.9999999999999999,0.13340872679897547,-0.9999999999999998,0.13340872679897556,,,2
2008-02-15,-1.0,0.09966273091110806,-0.9999999999999998,0.09966273091110812,,,2
2008-02-18,-1.0,0.0662561767111637,-0.9999999999999998,0.06625617671116375,,,2
2008-02-19,0.9999999999999999,0.0662561767111637,0.9999999999999998,0.06625617671116375,,,2
2008-02-20,1.0000000000000002,0.09966273091110806,0.9999999999999998,0.09966273091110812,,,2
2008-02-21,-0.9999999999999999,0.0662561767111637,-0.9999999999999998,0.06625617671116375,,,2
2008-02-22,-0.9999999999999999,0.033072767267682726,-0.9999999999999998,0.03307276726768276,,,2
2008-02-25,1.0,0.033072767267682726,0.9999999999999998,0.03307276726768276,,,2
2008-02-26,1.0000000000000002,0.033072767267682726,0.9999999999999998,0.03307276726768276,,,2
2008-02-27,-1.0,0.03307276726768272,-0.9999999999999998,0.03307276726768276,,,2
2008-02-28,1.0000000000000002,0.0662561767111637,0.9999999999999998,0.06625617671116375,,,2
2008-02-29,-1.0,0.033072767267682726,-0.9999999999999998,0.03307276726768276,,,2
2008-03-03,1.0,0.033072767267682726,0.9999999999999998,0.03307276726768276,,,2
2008-03-04,1.0000000000000002,0.033072767267682726,0.9999999999999998,0.03307276726768276,,,2
2008-03-05,-0.9999999999999999,0.033072767267682726,-0.9999999999999998,0.03307276726768276,,,2
2008-03-06,-1.0,0.033072767267682726,-0.9999999999999998,0.03307276726768276,,,2
2008-03-07,1.0000000000000002,0.033072767267682726,0.9999999999999998,0.03307276726768276,,,2
2008-03-10,1.0000000000000002,0.033072767267682726,0.9999999999999998,0.03307276726768276,,,2
2008-03-11,-1.0000000000000002,0.03307276726768272,-0.9999999999999998,0.03307276726768276,,,2
2008-03-12,-1.0,0.033072767267682726,-0.9999999999999998,0.03307276726768276,,,2
2008-03-13,-1.0,0.0,-0.9999999999999998,3.669774306817035e-17,,,2
2008-03-14,-1.0,-0.033072767267682726,-0.9999999999999998,-0.03307276726768269,,,2
2008-03-17,-1.0,-0.0662561767111637,-0.9999999999999998,-0.06625617671116368,,,2
2008-03-18,-1.0000000000000002,-0.0662561767111637,-0.9999999999999998,-0.06625617671116368,,,2
2008-03-19,-0.9999999999999999,-0.0662561767111637,-0.9999999999999998,-0.06625617671116368,,,2
2008-03-20,-1.0000000000000002,-0.09966273091110806,-0.9999999999999998,-0.09966273091110804,,,2
2008-03-21,-0.9999999999999999,-0.09966273091110806,-0.9999999999999998,-0.09966273091110804,,,2
2008-03-24,1.0,-0.09966273091110806,0.9999999999999998,-0.09966273091110804,,,2
2008-03-25,1.0000000000000002,-0.09966273091110806,0.9999999999999998,-0.09966273091110804,,,2
2008-03-26,1.0,-0.09966273091110806,0.9999999999999998,-0.09966273091110804,,,2
2008-03-27,-1.0,-0.09966273091110806,-0.9999999999999998,-0.09966273091110804,,,2
2008-03-28,1.0,-0.0662561767111637,0.9999999999999998,-0.06625617671116368,,,2
2008-03-31,0.9999999999999999,-0.0662561767111637,0.9999999999999998,-0.06625617671116368,,,2
2008-04-01,-1.0,-0.0662561767111637,-0.9999999999999998,-0.06625617671116368,,,2
2008-04-02,-1.0000000000000002,-0.0662561767111637,-0.9999999999999998,-0.06625617671116368,,,2
2008-04-03,1.0,-0.033072767267682726,0.9999999999999998,-0.03307276726768269,,,2
2008-04-07,1.0,0.0,0.9999999999999998,3.3027968761353317e-17,,,2
2008-04-08,1.0,1.834887153408517e-18,0.9999999999999998,3.3027968761353317e-17,,,2
