date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2014-09-10,0.45863689513829015,0.7435949342343041,0.5000000000000001,0.7155094829030726,0.07784216866138427,0.6547448335092564,11
2014-09-11,0.4524336367108839,0.8110034601486672,0.390909090909091,0.7417330330149482,0.0966912451635676,0.6994491751343643,11
2014-09-12,0.31388544252249173,0.9125545280052987,0.3454545454545455,0.8304319259664783,0.08221295304113374,0.7349696236462232,11
2014-09-15,0.20326241853596475,1.0458501814389436,0.1090909090909091,0.9467459054620943,0.049489061946458704,0.762559465825794,11
2014-09-16,0.16522683320576384,1.125208082196785,0.2181818181818182,1.016376156083753,0.04332171834723567,0.7911116309409851,11
2014-09-17,0.05598466143333593,1.1750954751970668,0.2363636363636364,1.0388661422671865,0.03675791616289936,0.8245753268708467,11
2014-09-18,0.12368024227383788,1.1861257007734194,0.1272727272727273,1.0444696669874842,0.03587997044055476,0.8671460726648655,11
2014-09-19,0.01660407978072867,1.1623637690849362,-0.03636363636363637,1.0121368253704792,-0.05656970364896911,0.8450109964095909,11
2014-09-22,-0.23405837936717402,1.085042614498643,-0.09090909090909093,0.9700762883227328,-0.05399825805299348,0.8206201864872785,11
2014-09-23,-0.3758870835629287,0.9825562520180523,-0.14545454545454548,0.9172145932175165,-0.058157784169981484,0.7945790250001202,11
2014-09-24,-0.3996376354111301,0.8945977296033085,-0.24545454545454548,0.8680481069341923,-0.06480839008434976,0.7383530362181068,11
2014-09-25,-0.5173379423268928,0.8082147587056834,-0.31818181818181823,0.823597188700635,-0.09971207770419137,0.6584468324294004,11
2014-09-26,-0.3423821285582875,0.7681739700661608,-0.009090909090909092,0.8469326697098246,-0.09587894768783245,0.5916233106425814,11
2014-09-29,-0.2857944882558484,0.7285580423245167,-0.06363636363636364,0.8302995589447689,-0.08403107512592048,0.5382719077323342,11
2014-09-30,-0.19069916465580863,0.6898780042607019,-0.06363636363636364,0.7962824435662043,-0.08487780389460162,0.48875939254269646,11
