date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2015-04-09,-0.14542107711355715,-0.0937990200058393,0.07272727272727274,-0.05784350800547772,0.030098170105396616,0.009113858220010077,11
2015-04-10,-0.11918119642842996,-0.09711735738194946,0.0,-0.05072873403559561,0.029787314389831364,0.031508033422798606,11
2015-04-13,-0.10220836125775529,-0.09798756306694005,-0.26363636363636367,-0.05116092353674048,-0.0019000965744413456,0.05835074804470207,11
2015-04-14,-0.06590680825215606,-0.10132216502249813,0.08181818181818183,-0.03248786568127335,0.0094439969983929,0.08036369532981266,11
2015-04-15,0.07974791202195422,-0.09758587645461192,0.09090909090909093,-0.013160535472270227,-0.007045386574518291,0.09298878092197337,11
2015-04-16,0.11002825648147795,-0.10083631671712644,0.2181818181818182,-0.006333268847210068,0.024026299197553575,0.1097251732143475,11
2015-04-17,0.2389345649029904,-0.07468450122149248,0.3363636363636364,0.020705123818583283,0.027839644175978246,0.13550965288187766,11
2015-04-20,0.39942077634349044,-0.031876379775242845,0.30909090909090914,0.06410884085551877,0.05343240842622261,0.18513302889895603,11
2015-04-21,0.34587336453944634,-0.006620289891061577,0.30909090909090914,0.09348210543507018,0.10565628167536156,0.201128756354975,11
2015-04-22,0.2948495371460259,0.020254472036724345,0.3272727272727273,0.12382583375147213,0.06908748882246,0.239565709829693,11
2015-04-23,0.35409128675043167,0.050198303462775526,0.28181818181818186,0.14172247300950225,0.07805022164288171,0.27788912310828634,11
2015-04-24,0.5210844493218724,0.10099058176469222,0.5000000000000001,0.17983663672934205,0.057481822404622004,0.31058570012973785,11
2015-04-27,0.6418392366619643,0.15973821488450007,0.5454545454545455,0.2344287957647653,0.03441215815956248,0.34355248056105114,11
2015-04-28,0.804983370384854,0.22977249171230607,0.890909090909091,0.29705989086911244,0.0556614385806246,0.39548627787321683,11
2015-04-29,0.5033058590080745,0.29797146878929054,0.4000000000000001,0.3600028187048917,0.05211734991816016,0.44883373296309426,11
2015-04-30,0.497213635690946,0.3702083049752147,0.5272727272727273,0.44029029114540896,0.04453211866748804,0.5369277078546245,11
2015-05-04,0.16472039767961674,0.42036064390676264,0.27272727272727276,0.4977923278982793,0.01611268775106619,0.6046067160625459,11
2015-05-05,0.054392262539173064,0.42747340108332493,0.2090909090909091,0.5006396682507767,-0.001652617668357042,0.6430835262037939,11
2015-05-06,0.24570406640333672,0.4684481747777364,0.1181818181818182,0.5427606817769558,0.004156737514034413,0.6267566331337144,11
2015-05-07,0.041135923556701134,0.4624610399407417,-0.1090909090909091,0.5204047785673453,-0.013885690286316402,0.6000237239606835,11
2015-05-08,-0.09202936002076267,0.44584178034558164,-0.2181818181818182,0.4915671513590146,-0.006919869681790258,0.5788108478619225,11
2015-05-11,-0.36939361616152677,0.401063911491928,-0.4636363636363637,0.4330422136224268,-0.009951305384332827,0.5524268414099994,11
2015-05-12,-0.4379593846131639,0.35202413152140466,-0.4181818181818182,0.3872119190601998,-0.026055585277966142,0.5158072716888205,11
2015-05-13,-0.5228258954057134,0.29701401977786224,-0.48181818181818187,0.33520859131708547,-0.003335509708106847,0.4967561638136124,11
2015-05-14,-0.4388054793950854,0.24791409627777777,-0.3727272727272728,0.2944473014183614,-0.029020966337946597,0.4573695879037909,11
2015-05-15,-0.5832793574483645,0.19831104501452607,-0.5181818181818183,0.2523887471090103,-0.0636198502554977,0.4000608950546364,11
2015-05-18,-0.5178293933906126,0.14519087587912888,-0.5555881907044105,0.1946684297341798,-0.04288603414021905,0.3544650536384851,12
2015-05-19,-0.3081684581304326,0.10684660005487999,-0.3513278264748478,0.15385899497751643,-0.01598007099270282,0.3229387587703011,12
2015-05-20,0.028281560317185376,0.08534125140599047,-0.2679724923606742,0.11771807675995521,-0.009817872447029391,0.30082508865195184,12
2015-05-21,-0.01358033420848011,0.05903533521106597,-0.130066495428618,0.09649048647142265,-0.004690195513662038,0.2722967705782937,12
2015-05-22,-0.30889162203598947,0.03734465736635374,-0.33498699733648274,0.07921631803794532,-0.014153254439919633,0.24630189149821433,12
2015-05-25,-0.06833352678746572,0.01708983563640562,-0.11723796540779498,0.05699182162540465,0.006355488902833939,0.23019143852876967,12
2015-05-26,-0.07928121064109837,0.00834428085668291,-0.1758569481116925,0.04247400083454387,-0.0016916482635241648,0.21744439555149148,12
2015-05-27,-0.029687538595505412,0.012008054237779026,-0.10621538939937257,0.04488794002370491,-0.003077598667726833,0.22534033640181228,12
2015-05-28,-0.03753381504742755,0.009471368429815236,0.050244842317626416,0.04556611131743842,0.007375498804856828,0.21316065138798068,12
2015-05-29,0.15538547988992868,0.01747375600770253,0.13889704767610261,0.056823025118685845,0.0032541628257520827,0.20443811027969297,12
2015-06-01,-0.04033320585831942,0.021934045870376735,-0.06384695075740976,0.06840947417476914,-0.017064917064001595,0.19083956617370468,12
2015-06-02,0.034548925013029266,0.03550449340718218,0.10375129498079083,0.06683136617043237,0.00833701386290192,0.1876131189169914,12
2015-06-03,0.019477570571036783,0.04197567768921406,0.04902248741509504,0.06038623063815806,-0.030965040491682472,0.16524923965668317,12
2015-06-04,-0.20690805561905518,0.052204836800888194,-0.19302186029333468,0.06548117375274883,-0.019851565399276933,0.17487347852482224,12
2015-06-05,-0.4611036384413569,0.04894137877649171,-0.42298604876783974,0.07020337367057317,-0.05727805538710168,0.16422760349875873,12
2015-06-08,-0.3613965846134797,0.061718583296838075,-0.2797202797202798,0.08447559656920797,-0.02739798417281264,0.17880583343797044,12
2015-06-09,-0.24919254727153295,0.07368440018844082,-0.43356643356643365,0.07953595443998608,-0.03459919020788778,0.17886297826099162,12
2015-06-10,-0.2867228821155452,0.07811007776783921,-0.17482517482517487,0.09142371985563852,-0.05187178753426623,0.16386169552983668,12
2015-06-11,-0.30040619452830386,0.08196018055108012,-0.23776223776223782,0.09903842495214264,-0.06550365260288277,0.15094836073238965,12
2015-06-12,-0.16491406156048724,0.07166692383647048,-0.17482517482517487,0.09021220463602742,-0.011881755765833932,0.13261836080366224,12
2015-06-15,-0.150540733247626,0.06684379983895108,-0.1398601398601399,0.09100349777422252,-0.031600333887648754,0.12338101252086787,12
2015-06-16,-0.015456907173766465,0.05520894504029885,0.05594405594405596,0.07982124175429044,-0.02243727953883616,0.06529858392061624,12
2015-06-17,0.0891262144413455,0.05590227064798252,0.18881118881118886,0.08380106289680413,-0.013789899572486775,0.08426841711381897,12
2015-06-18,0.23529419147977518,0.07383762368713795,0.2797202797202798,0.1069280738094725,0.004979150387076928,0.10802246691215447,12
2015-06-19,0.24523399184672323,0.0756267224153511,0.18881118881118886,0.10550236289178613,0.011024019530440299,0.09614366260868226,12
2015-06-23,0.08988491529869715,0.06497387825633752,-0.034965034965034975,0.08745140587973968,0.005205673036159986,0.07273072681606736,12
2015-06-24,-0.029458854793685083,0.04285763882105522,0.07692307692307694,0.06762453747482153,0.005887847925440823,0.05250795648081793,12
2015-06-25,0.17976943224309377,0.028702466393842538,0.17482517482517487,0.043776431428238255,0.014810399988802472,0.027215120776410834,12
2015-06-26,0.06275328417759697,0.009157846350030419,0.04895104895104896,0.021579151301047237,-0.0028435631766451364,-0.006933363418697098,12
2015-06-29,0.021477671049988288,-0.004283280576960086,-0.020979020979020983,0.002259975930008553,-0.014201761383113534,-0.024924541490795257,12
2015-06-30,-0.2409624839014111,-0.018957506979848052,-0.41958041958041964,-0.028507882456438982,-0.009342883336831087,-0.0071370260545612395,12
2015-07-01,-0.45657713675418893,-0.04403428909473908,-0.6153846153846155,-0.06645246337933314,-0.0440831768083688,-0.0032053861053923712,12
2015-07-02,-0.47801517023340045,-0.06831740478836495,-0.6153846153846155,-0.0932277340370722,-0.038243345169779897,0.017761565351331606,12
2015-07-03,-0.49812000696852754,-0.09218467444113704,-0.6293706293706295,-0.12625313191781867,-0.04366218819543625,-0.01594379255896191,12
2015-07-06,-0.13643539061568513,-0.09171979110583768,-0.1258741258741259,-0.13637750772255242,-0.02466550943960507,-0.042383847855992314,12
2015-07-07,0.03506674769819808,-0.08349360458326396,-0.11888111888111891,-0.1423628171526217,-0.03723716600498267,-0.07456672889633202,12
2015-07-08,0.1660958691994695,-0.06894084222286655,0.06293706293706294,-0.1261891799372238,0.01699023794402767,-0.06530344351568633,12
2015-07-09,0.6523725873542182,-0.02944761608478103,0.4265734265734267,-0.10699567480416416,0.09017044504154466,-0.02513662503414186,12
2015-07-10,0.7033541883632434,0.002554014767367749,0.45454545454545464,-0.08734873171665668,0.08730449519322873,0.016922375483262326,12
2015-07-13,0.5210429793973365,0.022488102860921313,0.05594405594405596,-0.09571148974927692,0.04483840507494251,0.02574639953782309,12
2015-07-14,0.5440805456537897,0.036712053053921376,0.06993006993006995,-0.10990473983002273,0.01189427189445887,0.018947884145311504,12
2015-07-15,0.5520504394554614,0.0435843370230607,0.20979020979020982,-0.11537076411909593,0.026769304050784242,0.007522429322249866,12
2015-07-16,0.19708908980308668,0.036731432762888386,-0.06293706293706294,-0.1352686440456463,0.018431525902401564,-0.032766634226520194,12
2015-07-17,0.28946153554637216,0.03648252278492967,-0.02797202797202798,-0.15492351711257757,0.032366481843077555,-0.051281598799837444,12
2015-07-20,0.25434033579991827,0.031861509234247444,0.01398601398601399,-0.1700725376776274,-0.0026841040035975663,-0.09448403103909722,12
2015-07-21,0.26930047583963057,0.02009823324807502,-0.01398601398601399,-0.20171142989434374,0.010654171015904192,-0.12144327944608771,12
2015-07-22,0.31121438418887415,0.00416669831941251,0.020979020979020983,-0.2370254126237961,0.007829984706430405,-0.1367339881305591,12
2015-07-23,0.33374974012097675,-0.020031223612518224,0.22377622377622383,-0.29739567248317533,0.019568561567180773,-0.15979002223935013,12
2015-07-24,0.3341448132237265,-0.029127362295166156,0.16783216783216787,-0.31710204064370967,0.04386387337740816,-0.16551499486449506,12
2015-07-27,0.2763817464046291,-0.0412996735630798,0.31468531468531474,-0.3382798246385194,0.017337469504214623,-0.18353698405601096,12
2015-07-28,0.5571083063154285,-0.019955009106330034,0.30769230769230776,-0.33506252783639967,0.022423669916781144,-0.17953164368811259,12
2015-07-29,0.7106892865424991,0.01352964121296046,0.5174825174825176,-0.30618838956203026,0.06703403128871992,-0.13540668366719188,12
