date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2011-11-15,-0.33628886741202463,-0.09515026449083677,-0.29999999999999993,-0.09341073006169225,,,5
2011-11-16,-0.42283704607362044,-0.10252930158868717,-0.29999999999999993,-0.10469813248649715,,,5
2011-11-17,-0.1498622696932262,-0.11229218461301066,-0.29999999999999993,-0.10743996871341867,,,5
2011-11-18,0.26413806826768194,-0.09464307508505321,-0.09999999999999998,-0.10190187712247918,,,5
2011-11-21,-0.3581218534807802,-0.09333165370307935,-0.3999999999999999,-0.08970300713612982,,,5
2011-11-22,-0.6833639623864188,-0.1104919581559538,-0.5999999999999999,-0.12811814678771816,,,5
2011-11-23,-0.4982122044300015,-0.10500220765555303,-0.3999999999999999,-0.11292102313290744,,,5
2011-11-24,0.02684290072711878,-0.09348111758621734,0.09999999999999998,-0.10401812354794038,,,5
2011-11-25,0.05808898904070839,-0.09632193663818919,-0.29999999999999993,-0.13204750245091137,,,5
2011-11-28,0.006124608364572902,-0.10135319285166122,-0.09999999999999998,-0.1549575760155746,,,5
2011-11-29,-0.8516496221996458,-0.11089422864444444,-0.8999999999999998,-0.1672192529097538,,,5
2011-11-30,-0.3296817166329547,-0.12398523747392808,-0.09999999999999998,-0.1733678208148254,,,5
2011-12-01,-0.05722024893867116,-0.15319849281525055,-0.19999999999999996,-0.19993060233192642,,,5
2011-12-02,-0.2981188210809751,-0.1934923982910206,-0.19999999999999996,-0.24497515400686526,,,5
2011-12-05,-0.6077457596195114,-0.2475763635839437,-0.29999999999999993,-0.2821743670543018,,,5
2011-12-06,-0.2787811551665984,-0.2635612850313572,-0.19999999999999996,-0.30009810495550326,,,5
2011-12-07,0.6345000440767782,-0.269898417517012,0.5999999999999999,-0.31527455633977175,,,5
2011-12-08,0.09318467751423781,-0.24465977686264853,0.29999999999999993,-0.2833437326458768,,,5
2011-12-09,-0.6497547876359466,-0.24736610141661275,-0.6999999999999998,-0.2833437326458768,,,5
2011-12-12,-0.01028412846282766,-0.2273722400722885,-0.09999999999999998,-0.2620856178255109,,,5
