date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2014-06-18,0.200900975719879,-0.4397224858910734,-0.06052275326688022,-0.33703153490626914,-0.05229283505224508,,11
2014-06-19,-0.016841452322124945,-0.43029032595186467,-0.2916096293767866,-0.34626996420893363,-0.02565575102553766,,11
2014-06-20,0.14856424515311628,-0.40942444554087043,0.06428243465332245,-0.33379811950927135,-0.006752666063367246,,11
2014-06-23,0.343164701176025,-0.36882205415645625,0.40165099895293255,-0.2951368874724365,-0.022001658088919573,,11
2014-06-24,0.5632762291155824,-0.31582869994952295,0.32069712861388966,-0.2752170690941961,-0.027884293381992248,,11
2014-06-25,0.6877987919727064,-0.2620641512723867,0.3212121212121212,-0.26237471586867206,-0.021706455187215618,,11
2014-06-26,0.4875694978454384,-0.2133456153123943,0.4123248796464296,-0.21495711901180664,-0.012202540705124304,,11
2014-06-27,0.3697085450975494,-0.17089542610530756,0.5154060995580371,-0.16272221879701843,-0.009113685110061054,,11
2014-06-30,0.15595094615849714,-0.13439674014935396,0.3894179418882947,-0.11277195148191842,-0.010366457201077539,,11
2014-07-01,0.3417418239212562,-0.09589156035334392,0.40606060606060607,-0.07184738962954837,0.04653047071501318,,11
2014-07-02,0.24497161480208593,-0.05814358082437729,0.3212121212121212,-0.03393205143267232,0.0820388873391262,,11
2014-07-03,0.22350810590168102,-0.012054212552200563,0.23636363636363636,-0.00024322421876582926,0.07360002804959506,,11
2014-07-04,0.15910688934064182,0.013510111302267206,0.24848484848484848,0.025520842948732282,0.07241851523471687,,11
2014-07-07,0.12945807559837155,0.03238032477851026,0.30909090909090914,0.04295197727328432,0.03650045960923935,,11
2014-07-08,0.07836669482406473,0.052188545681126325,0.18181818181818185,0.08216061040686294,0.03924751984894803,,11
2014-07-09,0.10028601787013357,0.06225594016727037,0.3636363636363637,0.09660008303783595,0.03167065685463022,,11
2014-07-10,0.033937027073898354,0.0680124576759349,0.17272727272727276,0.11069740860835053,-0.00042910062861060494,,11
2014-07-11,-0.008757085478112464,0.0703433655930351,-0.04545454545454546,0.11739997780998992,-0.005914482458459676,,11
2014-07-14,-0.11825125279604098,0.06191158495550606,-0.06363636363636364,0.12386661561518095,-0.020527955896923616,,11
2014-07-15,-0.08577867585578904,0.04617014629928992,-0.29090909090909095,0.10544880234168556,-0.02542556683451432,,11
2014-07-16,-0.08559166132635385,0.033299020864701406,-0.027272727272727275,0.09679705503495332,-0.006150989496483777,,11
2014-07-17,-0.10754240741720801,0.018230464406950257,0.009090909090909092,0.08879224987202437,-0.006753226511487614,,11
2014-07-18,0.08865166346196668,0.004784366694755601,0.5909090909090909,0.1040969706732388,0.04902213882410422,,11
2014-07-21,0.11024605906098828,0.0029053168620313836,0.6454545454545455,0.1286018302042189,0.043143722711265466,,11
2014-07-22,0.0213201940933621,-0.007519521429545002,0.16363636363636366,0.13528959971565124,0.019888188991350808,,11
2014-07-23,0.032472387189307395,-0.003808676126750552,0.14545454545454548,0.13776898629653056,0.015653970399876333,,11
2014-07-24,-0.0011382406115321645,0.01394096447645001,-0.018181818181818184,0.13718930052406067,0.00870767157230079,,11
2014-07-25,0.02873352063905374,0.06401084429537034,0.08181818181818183,0.18215217349765409,0.011850358981837172,,11
2014-07-28,-0.10209148285360121,0.1041149422053152,0.08181818181818183,0.20036764671258206,-0.0017588811824222894,,11
2014-07-29,-0.09639629946507698,0.13340114926695468,-0.3818181818181819,0.20036764671258206,-0.01870225804468817,,11
2014-07-30,-0.22101317619661584,0.14396760862561933,-0.5272727272727273,0.19797387173878356,-0.016173476172630912,,11
2014-07-31,-0.5810761352314239,0.12297837105455724,-0.49090909090909096,0.19037702662968647,-0.06984082417658848,,11
2014-08-01,-0.7156742622254801,0.08737416980543974,-0.5000000000000001,0.16893625572448498,-0.0720812351299922,,11
2014-08-04,-0.6707526192038676,0.057432614616847635,-0.7000000000000001,0.11802836493855365,-0.06661837919557134,,11
2014-08-05,-0.6005578254724364,0.0384033725194236,-0.6000000000000001,0.11080997265999497,-0.05717586118645157,,11
2014-08-06,-0.294019314220291,0.03904967717472612,-0.6636363636363637,0.10096667644449064,-0.01889723369918909,,11
2014-08-07,-0.3230854614619794,0.032708209165687244,-0.5090909090909091,0.07487484508467662,-0.019853763733681012,,11
2014-08-08,-0.34857851842191956,0.02596637456610309,-0.5000000000000001,0.06248468716932088,-0.03250458200219264,,11
2014-08-11,-0.4153791592875423,0.017857666724441945,-0.5090909090909091,0.06567657303141596,-0.06754110143604557,,11
2014-08-12,-0.4572383722042647,0.009277128159938856,-0.4000000000000001,0.07842033481312981,-0.04913687883131361,,11
2014-08-13,-0.43573061397601504,0.004426270586006522,-0.5363636363636365,0.08538885790924063,-0.07796102491829775,,11
2014-08-14,-0.4647409745210184,-0.005062390525979328,-0.4181818181818182,0.09280943809681347,-0.07345451674238997,,11
