date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2013-12-18,-0.3927619897543392,0.1629933667279282,0.07142857142857144,0.18362269384522298,-0.0020595737450998333,0.11155845735610692,8
2013-12-19,0.1485940072007297,0.1944293124963263,0.09523809523809526,0.2189013135311247,-0.001966883999579265,0.1461041954743785,8
2013-12-20,-0.3005244649913461,0.19885117871110572,0.023809523809523815,0.2256424015068065,-0.004225794772208191,0.13697745810266876,8
2013-12-23,0.7345622643087308,0.21226421670875495,0.8095238095238096,0.23959514664918774,0.008746439582723734,0.1619395678258343,8
2013-12-24,-0.12955560575073446,0.2446048004482669,-0.19047619047619052,0.2687240506153502,-0.0017783551581573482,0.16719748510336038,8
2013-12-25,0.07429492587818379,0.23410638537658912,-0.14285714285714288,0.2662516540084897,0.0014717622499920888,0.15243777368020126,8
2013-12-26,-0.17152765059254924,0.20695741817287472,-0.523809523809524,0.22066106404347796,-0.0071694608124572845,0.09514187199905988,8
2013-12-27,-0.6970238110466717,0.15579754893234618,-0.6666666666666667,0.16273834329533277,-0.012414055429393741,0.025399698167257692,8
2013-12-30,-0.29162651182102783,0.14675935618378103,-0.23809523809523814,0.14769737726729024,-0.0041997107347183284,0.015648873446104748,8
2013-12-31,0.02808970229312748,0.1224485496717437,-0.09523809523809526,0.1325045236933477,-0.0006681013452028983,0.007251881205326664,8
2014-01-02,-0.40106050229960916,0.08865325646600634,-0.3095238095238096,0.10277473946430024,-0.007235695091429961,-0.021070619457759742,8
2014-01-03,-0.391902008468309,0.04453542301835695,-0.4047619047619048,0.0691268692791913,-0.0020870391583904433,-0.03362388051240807,8
2014-01-06,0.2205110393465925,0.05710518891203647,0.42857142857142866,0.10672521574811805,0.009049251506321113,0.013346634808596273,8
2014-01-07,0.13320628573849969,0.09037797226554041,-0.023809523809523815,0.10253544026382654,0.0012923290465327215,0.016473377355542003,8
2014-01-08,-0.3761582617554754,0.05717475982728392,-0.3095238095238096,0.07368211311163905,-0.01578829460522672,-0.029055120128902913,8
2014-01-09,0.6388764604140947,0.05240763058781542,0.5952380952380953,0.06641918264044573,0.012046627570615882,-0.010559258009594305,8
2014-01-10,-0.30317598744021773,0.01740369869691793,-0.09523809523809526,0.05287880745259839,-0.00344830596967131,-0.022697608697409576,8
2014-01-13,-0.10841828678554727,0.03620132000216182,0.4761904761904763,0.10075139509240395,-0.0026389396625529455,-0.020599924200159492,8
2014-01-14,-0.4157874621841819,0.021551361519111193,-0.3095238095238096,0.10342500061003589,-0.0044682561236031315,-0.03153602158047036,8
2014-01-15,0.4168323656338449,0.014131784664161753,0.38095238095238104,0.10372624902460768,0.00336469172531532,-0.03190774525187109,8
2014-01-16,-0.2641013380354844,-0.0305320433977469,-0.42857142857142866,0.060408738346267324,-0.002201452973888074,-0.05246767838385448,8
2014-01-17,-0.25462231545277386,-0.07217452196979617,-0.642857142857143,0.014429213099085412,-0.022065606918536058,-0.10578670709570767,8
2014-01-20,-0.029055403748709248,-0.03726905152361009,-0.04761904761904763,0.047471204961041166,-0.004608028378139376,-0.11051067351309758,8
2014-01-21,0.5789750452097349,0.008105504209594385,0.42857142857142866,0.06527358792430739,0.004231772678891706,-0.08953331649829681,8
2014-01-22,0.6596206400025798,0.04680358910868429,0.7380952380952382,0.10312243355009382,0.013315663282279807,-0.02716891794519112,8
2014-01-23,0.12256672143994245,0.05714255373573874,0.14285714285714288,0.10495054033162751,-0.001394185980819344,-0.027248467732200087,8
2014-01-24,-0.2635540179305389,0.03428565834233121,-0.21428571428571433,0.08235800316788845,-0.002602561677230016,-0.03969680216484403,8
2014-01-27,0.10491168302994827,0.03687401259701655,-0.023809523809523815,0.06886604676203768,0.0028049722598395554,-0.032972454399922774,8
2014-01-28,0.22214620887354505,0.03998947854780268,0.0,0.08851736667672669,0.003910183334462432,-0.05349833654941182,8
2014-01-29,0.7137433748159937,0.06775839370665253,0.7619047619047621,0.11641726612171859,0.014022747281832688,-0.01488154541697447,8
2014-01-30,0.2615563936264264,0.05297703335864154,0.14285714285714288,0.0955964135356688,0.007847547273828895,-0.010150197168819248,8
2014-02-07,0.5251111407697591,0.09927782710771717,0.3095238095238096,0.13478376188818875,0.00698281057402983,0.026731503546631896,8
2014-02-10,0.4782465884516625,0.12927002746414043,0.5000000000000001,0.17103499983823073,0.0039705956625899486,0.03751374907703376,8
2014-02-11,0.6326839354045785,0.13934157933647595,0.4761904761904763,0.17956833541670658,0.012829251101656225,0.05977823796457451,8
2014-02-12,0.6386120289627044,0.15935331636463487,0.5952380952380953,0.20172097759265153,0.005692453219736511,0.0725858097096369,8
2014-02-13,-0.5456980717564124,0.12698386812862858,-0.4047619047619048,0.17491950602226272,-0.012542395075847017,0.03628132398089606,8
2014-02-14,-0.6422479690692166,0.11292821145371842,-0.6666666666666667,0.15980389001969442,-0.013143365614556533,0.014541418162395452,8
2014-02-17,0.43699549917916963,0.11761752554098515,0.11904761904761907,0.15446000873419471,0.0007534292264862082,0.012648183701952363,8
2014-02-18,-0.27145597920368614,0.10393260717145388,-0.3095238095238096,0.14824922561522746,-0.004531271751569717,-0.00037982858476869784,8
2014-02-19,0.5981744361545763,0.10332014860826998,0.6666666666666667,0.15047478360653452,0.010593843273070003,0.014513707362139418,8
2014-02-20,0.3994999571710327,0.1338894943956401,0.5714285714285715,0.17563153446432309,0.0028327282743510667,0.02636617620999074,8
2014-02-21,0.6956963427672448,0.18654456002679137,0.7380952380952382,0.20814138439176946,0.025386345886786156,0.08130688283757011,8
2014-02-24,-0.6728161769634637,0.1656817603754556,-0.8333333333333335,0.18278616966774727,-0.008207081871225392,0.07104321586544345,8
2014-02-25,-0.5311153969495152,0.14751121516428192,-0.42857142857142866,0.1698378596713142,-0.008430815985145317,0.05260311987945202,8
