date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2010-09-29,0.40228553781862864,-0.022021530405617225,0.0,-0.07353691163265295,,,4
2010-09-30,-0.7052754682158788,-0.05090577245834996,-0.6,-0.10158097327434969,,,4
2010-10-08,-0.839266505571767,-0.09204182128563093,-0.8,-0.1344263519706413,,,4
2010-10-11,-0.1846578633998675,-0.0849981624961215,-0.4,-0.12447746406038813,,,4
2010-10-12,-0.7664444266315522,-0.08473796518295855,-1.0,-0.1290994448735805,,,4
2010-10-13,0.9942894744689269,-0.06207795849377428,1.0,-0.12234516677459177,,,4
2010-10-14,0.8051986456413475,-0.051615433679784654,1.0,-0.11572786988635547,,,4
2010-10-15,0.9891147500190833,-0.017013422925795583,0.8,-0.07637163874195611,,,4
2010-10-18,-0.7957665094845183,-0.05116897520937873,-0.4,-0.10438428162714897,,,4
2010-10-19,-0.8278699120037217,-0.08180387812808182,-1.0,-0.12932798009383875,,,4
2010-10-20,-0.21327535875512943,-0.09409283238126069,-0.2,-0.13469477134177946,,,4
2010-10-21,-0.3360724645741283,-0.11742992341339209,-0.2,-0.15161870449308962,,,4
2010-10-22,0.5672040948192673,-0.11128099874465955,0.4,-0.15161870449308962,,,4
2010-10-25,-0.7255615399029142,-0.11794651799781743,-0.8,-0.15619061503629053,,,4
2010-10-26,0.044793044427916984,-0.12859557340270744,0.2,-0.15619061503629053,,,4
2010-10-27,0.18076905782171618,-0.10232989840610232,-0.2,-0.13714582495179625,,,4
2010-10-28,0.3347422482051112,-0.08238371209440158,0.4,-0.11487949139882124,,,4
2010-10-29,-0.923409697506995,-0.13609611222018395,-0.8,-0.15961761252391954,,,4
2010-11-01,-0.8523537428303075,-0.13927985388091357,-0.4,-0.14558210881143882,,,4
2010-11-02,-0.5145263199268231,-0.18135544668240577,-0.2,-0.1632805603512288,,,4
2010-11-03,-0.6770611641551505,-0.1824311981574303,-0.8,-0.15889211227964098,,,4
2010-11-04,-0.745335510773936,-0.19381986510972218,-0.4,-0.15889211227964098,,,4
2010-11-05,-0.5622506452725383,-0.19748203760036148,-0.8,-0.17386995199782745,,,4
2010-11-08,0.32135720318444677,-0.21219825773394768,0.2,-0.18018036607658172,,,4
2010-11-09,-0.7788432875622006,-0.21415371090145216,-0.8,-0.18475667556834072,,,4
2010-11-10,0.16255394621359515,-0.20275865933957743,-0.4,-0.18475667556834072,,,4
2010-11-11,-0.5091907751512109,-0.22399341664803704,-0.4,-0.20808211779042635,,,4
2010-11-12,0.5837759113866425,-0.23391924232260264,0.4,-0.23054967610723967,,,4
2010-11-15,-0.9230889158115346,-0.2605893794585027,-0.4,-0.2550563926680925,,,4
2010-11-16,0.8551435636546975,-0.21590819507408193,0.4,-0.22113912323332086,,,4
2010-11-17,0.29942576514353764,-0.22735700872558617,0.6,-0.21394257030881317,,,4
2010-11-18,0.7959735815949407,-0.1845901013221603,0.8,-0.17590762638343563,,,4
2010-11-19,0.6041328038807906,-0.17399713681769916,0.2,-0.17590762638343563,,,4
2010-11-22,-0.4512189151621788,-0.201414849768706,-0.8,-0.208889919156679,,,4
2010-11-23,-0.21375520495738917,-0.19467908707408232,-0.4,-0.208889919156679,,,4
2010-11-24,0.994886277900358,-0.17597603376573828,1.0,-0.18752827063474503,,,4
2010-11-25,0.7720736922331142,-0.14959282496113324,0.8,-0.1518906990389889,,,4
2010-11-26,0.016864891312855648,-0.17725493304280943,0.4,-0.1648147573360087,,,4
2010-11-29,0.12941864135596545,-0.17486073399599053,0.4,-0.1529935017509236,,,4
2010-11-30,0.4088952558900376,-0.14772691318514405,0.6,-0.1297887153617776,,,4
2010-12-01,-0.889146622083566,-0.1509349257271759,-0.8,-0.13445682956079805,,,4
2010-12-02,0.4685569440524118,-0.1384832775261725,0.4,-0.12864598564012159,,,4
2010-12-03,-0.8023543809683462,-0.13569578529190632,-0.8,-0.12418341777979039,,,4
2010-12-06,0.2360628486341987,-0.1284527627556562,0.0,-0.11364119609941993,,,4
2010-12-07,0.4870315956977276,-0.13778857450889948,0.4,-0.12598921490321072,,,4
2010-12-08,0.5538418911423264,-0.10116595640566832,0.2,-0.0948757305230893,,,4
2010-12-09,0.15990193988848386,-0.09983586641115356,0.6,-0.08882757274464825,,,4
2010-12-10,0.8851461194435988,-0.08543025010853864,0.8,-0.07679108703498952,,,4
2010-12-13,0.3856256297634476,-0.0634008788293086,0.4,-0.05477039915828344,,,4
2010-12-14,-0.7844020347255072,-0.102590164638537,-0.8,-0.0868883429067295,,,4
2010-12-15,-0.05534628955657977,-0.09912521585881838,0.0,-0.11045435901752304,,,4
2010-12-16,0.6737178322147618,-0.06903673534083991,0.8,-0.07623334266890788,,,4
2010-12-17,-0.13030018426873957,-0.061866747899627,0.4,-0.059668667663649554,,,4
2010-12-20,0.6032162174925604,-0.05737743518092063,0.8,-0.04827399198809257,,,4
2010-12-21,-0.21886627434830472,-0.05005265432768042,0.2,-0.021722085726682366,,,4
2010-12-22,0.9272374879225886,0.00043781253828083645,0.8,0.0217220857266824,,,4
2010-12-23,0.22425873351458447,0.0011114269496174476,0.2,0.0217220857266824,,,4
2010-12-24,0.9761060695755405,0.04559993076494859,1.0,0.07623334266890791,,,4
2010-12-27,-0.9681440273646513,0.02247537278421809,-1.0,0.04785577400551803,,,4
2010-12-28,-0.45704811629487246,-0.00018896418869965772,-0.8,0.005311203214108129,,,4
2010-12-29,0.7058123065988956,0.007690068566133705,0.8,0.02620651079033029,,,4
2010-12-30,0.15445521479816993,0.03031305191219946,-0.4,0.03158532469171342,,,4
2010-12-31,0.5488441304779997,0.06740639739746061,0.8,0.07386581232529686,,,4
2011-01-04,0.14302631576749342,0.0761588485505938,-0.4,0.07386581232529686,,,4
2011-01-05,0.5687547230338355,0.11259029458394121,0.8,0.12287889587352553,,,4
2011-01-06,-0.28003272613526764,0.07982047275104252,0.0,0.09802612162670032,,,4
2011-01-07,-0.1478069118867994,0.05456271134259502,-0.4,0.06088317808448313,,,4
2011-01-10,0.9724007180699985,0.05414182521927169,1.0,0.06588950994077486,,,4
2011-01-11,-0.1539371801582885,0.07296808947614046,0.4,0.08800390805692844,,,4
2011-01-12,-0.3129793928023397,0.0887546413541901,-0.4,0.10677059202879345,,,4
2011-01-13,-0.8450095710007969,0.06954352354340215,-0.8,0.08849534028991607,,,4
2011-01-14,-0.7497541218746326,0.05732723298940009,-0.8,0.07082334923637927,,,4
2011-01-17,0.14714208312371296,0.04601262003926499,0.0,0.060101852824973115,,,4
2011-01-18,0.8560650555205602,0.08984179647996898,0.8,0.10419256892752582,,,4
2011-01-19,-0.28273284574687574,0.08053733448966537,-0.4,0.08736122242600472,,,4
2011-01-20,-0.7044017326666463,0.05533522688526133,-0.6,0.07582291910660154,,,4
2011-01-21,-0.000736661833184024,0.046256028067617666,0.2,0.07056821340943464,,,4
2011-01-24,-0.5746886755592827,0.05652307103592272,-0.4,0.08238841482500378,,,4
2011-01-25,0.7499960991934331,0.10175621362721961,0.8,0.11446223952935253,,,4
2011-01-26,0.956710904624359,0.14143508339797056,0.8,0.1403126357323517,,,4
2011-01-27,-0.35352946333153684,0.15178072592936048,-0.2,0.15903076309990782,,,4
2011-01-28,0.4487376818293169,0.18781193894653378,0.2,0.17646444349661966,,,4
2011-01-31,0.4820074779836937,0.2191978686406016,0.8,0.22257179334002805,,,4
2011-02-01,-0.9403887870651808,0.17842341566714554,-1.0,0.18381268778013912,,,4
2011-02-09,0.535184507052172,0.21827253046939202,0.2,0.21492318693180323,,,4
2011-02-10,-0.8318392653213723,0.18611292470009397,-0.6,0.20820374933567443,,,4
2011-02-11,-0.08884216648488168,0.19936620268566882,-0.2,0.21452602649462044,,,4
2011-02-14,-0.5227459617881416,0.1678147182805241,-0.4,0.1916525523394201,,,4
2011-02-15,-0.40133281657677927,0.1858362897714803,0.4,0.21452602649462044,,,4
2011-02-16,-0.3315823838311071,0.1536987458017823,-0.4,0.1916525523394201,,,4
2011-02-17,0.8561997555699347,0.16737878872250642,1.0,0.20012962784170493,,,4
2011-02-18,0.8056615473088853,0.1675967071517194,0.8,0.20012962784170496,,,4
2011-02-21,-0.4653904507097164,0.13729778261547612,-0.4,0.18283708721889735,,,4
2011-02-22,0.9047222450556899,0.17395697494316012,0.8,0.22790426090352198,,,4
2011-02-23,0.9061842421015973,0.20272086614410692,0.8,0.2597629094401289,,,4
2011-02-24,0.5642070411130017,0.19341489625933767,0.6,0.25185165593008163,,,4
2011-02-25,-0.8632133723744168,0.14604633346697704,-0.8,0.205952561434997,,,4
2011-02-28,-0.8594046119307565,0.11941060379184078,-0.8,0.1705540033341601,,,4
2011-03-01,-0.7238836645612259,0.09499124067931586,-0.4,0.14872008963168565,,,4
2011-03-02,-0.28499849043965003,0.07647418072564723,-0.2,0.12797466786109213,,,4
2011-03-03,-0.5854929257918299,0.08548333404546782,-0.4,0.1403126357323517,,,4
2011-03-04,0.3116708979041326,0.08143959846654288,0.4,0.1403126357323517,,,4
2011-03-07,0.37421836576479506,0.11495560095363304,0.4,0.17549027179492843,,,4
2011-03-08,-0.0898464183902008,0.10601369744024323,0.2,0.18098818202741093,,,4
2011-03-09,0.45382001662440963,0.1051667800645592,0.4,0.18098818202741093,,,4
2011-03-10,0.2471973170122789,0.09720569325903637,0.4,0.1861512239483212,,,4
2011-03-11,-0.8080391352157457,0.06931213482815705,-0.8,0.14595371628043077,,,4
2011-03-14,-0.7456531122332001,0.02508826565938184,-0.6,0.10826034337079311,,,4
2011-03-15,-0.687114047556369,-0.004108177741917156,-0.8,0.07476005257027382,,,4
2011-03-16,-0.5576761921431266,0.0020363780923336092,0.0,0.09767325467293805,,,4
2011-03-17,0.3265926420914417,0.012406731276230326,0.2,0.10306406232812206,,,4
2011-03-18,0.8947017564028997,0.018269230679474047,1.0,0.10768431617318071,,,4
2011-03-21,0.9907990817315694,0.047532430385228065,1.0,0.12182264096217124,,,4
2011-03-22,-0.7833519109277537,0.010824266489564057,-0.8,0.07910723751704038,,,4
2011-03-23,0.18844069883422174,0.021528119681183854,-0.2,0.0685053733068083,,,4
2011-03-24,0.10744403445640245,-6.297456433168558e-06,-0.4,0.03720404585820009,,,4
2011-03-25,0.2698466353647371,0.0012122841303982247,0.0,0.031910731544598454,,,4
2011-03-28,-0.87172976147764,-0.04844244676823366,-0.8,-0.016074408743376907,,,4
2011-03-29,-0.3277632148233534,-0.031796257616268815,-0.4,8.787627570144045e-17,,,4
2011-03-30,0.40505182623799707,-0.008212833306987232,-0.21081851067789195,0.0163053667504818,,,4
2011-03-31,0.12787494371707067,-0.02431005022022186,0.4,0.005294593447395466,,,4
2011-04-01,-0.22447852865109638,-0.03479205821239799,-0.4,0.005294593447395466,,,4
2011-04-06,0.7907794145425652,-0.027878586491415842,1.0,0.010799944587759146,,,4
2011-04-07,-0.33443626435737317,-0.04092640411483765,-0.4,0.010799944587759146,,,4
2011-04-08,-0.5108967882119035,-0.07075437072430833,-0.8,-0.03361801583690462,,,4
2011-04-11,0.7878490808338893,-0.040802969127643016,0.8,-0.011232807645783733,,,4
2011-04-12,0.8438780412337242,-0.013681495724544019,0.8,0.02134937594664956,,,4
2011-04-13,0.05813026176882392,-0.038920381725396636,-0.2,-0.011357842565811314,,,4
2011-04-14,-0.26995405697997277,-0.04204375789831883,-0.4,-0.03349222306461318,,,4
2011-04-15,0.6932395314540587,-0.014485824031198764,1.0,0.0051304835836560245,,,5
2011-04-18,-0.04246740045551393,0.00729701436242156,-0.2,0.021701085927667854,,,5
2011-04-19,0.05688680876517107,0.029823794909498696,0.4,0.055387544461355534,,,5
2011-04-20,0.8410327826102024,0.04837773745215373,0.8,0.07662557691155189,,,5
2011-04-21,-0.1459911632849151,0.021263672826774622,-0.4,0.04405859976265606,,,5
2011-04-22,0.32099336310900894,0.03805494243216302,-0.5291502622129182,0.04035842627931406,,,5
2011-04-25,-0.21285383824623832,0.0523196753492283,-0.1414213562373095,0.05349266855067041,,,5
2011-04-26,0.15331167652406613,0.0566349520660723,0.5291502622129182,0.06234943153382513,,,5
2011-04-27,0.7859054803306671,0.09452374478062793,0.8315218406202999,0.09558578312914343,,,5
2011-04-28,-0.649860150034541,0.05533109452097442,-0.37796447300922725,0.06378978816525491,,,5
2011-04-29,-0.5945512979387696,0.012005471570379268,-0.848528137423857,0.01802657285462232,,,5
2011-05-03,-0.6453370974740567,0.0037019492347899296,-0.282842712474619,0.015723654876810537,,,5
2011-05-04,-0.28816229914938907,-0.017101768731849792,0.282842712474619,0.017993115357202362,,,5
2011-05-05,-0.5229404255007513,-0.045483635682901404,-0.2,-0.009705076804760768,,,5
2011-05-06,0.31541843616904897,-0.010201217435259724,0.4999999999999999,0.03283056019865222,,,5
2011-05-09,-0.6365413345924966,-0.0438202888338754,-0.6999999999999998,0.007116767905394974,,,5
2011-05-10,-0.11141471242292761,-0.0235256282351236,-0.19999999999999996,0.0185245747732787,,,5
2011-05-11,-0.058101660100521965,-0.022630427119768707,0.09999999999999998,0.027063141422904623,,,5
2011-05-12,0.8793471378233916,0.018068649945907025,0.8999999999999998,0.06309326927378865,,,5
2011-05-13,0.6369730147668808,0.04774537072873907,0.5999999999999999,0.06839361586035492,,,5
2011-05-16,-0.7321628535144649,0.0358614748997587,-0.7999999999999998,0.05655980880730693,,,5
2011-05-17,-0.47279794725616575,-0.0018460771261527534,-0.29999999999999993,0.021161738161532606,,,5
2011-05-18,0.1621103433551118,-0.020644986219410588,0.29999999999999993,0.007200836794355554,,,5
2011-05-19,0.13451476604001303,-0.003164654021268003,0.29999999999999993,0.027197360051426457,,,5
2011-05-20,0.6106163345906948,-0.011925731818346103,0.6999999999999998,0.024432300990695464,,,5
2011-05-23,0.6479742846818777,-0.019801175427374137,0.8999999999999998,0.027183848251457216,,,5
2011-05-24,-0.8762885045444931,-0.06234750657985702,-0.6999999999999998,-0.009871176446323023,,,5
2011-05-25,-0.704303330996821,-0.058004106633246316,-0.6999999999999998,-0.007054150288308529,,,5
2011-05-26,-0.43849662565847386,-0.04609115416443643,-0.09999999999999998,0.013128220524152336,,,5
2011-05-27,0.3834926743274938,-0.012654939763380788,0.4999999999999999,0.03915977305279704,,,5
2011-05-30,-0.2256338168208442,-0.0108476720984616,-0.29999999999999993,0.036214753694951425,,,5
2011-05-31,-0.026281715185293694,0.006339527931321657,-0.29999999999999993,0.039179810567886324,,,5
2011-06-01,0.2327794165803697,0.003904527307163696,0.4999999999999999,0.0419844607609934,,,5
2011-06-02,-0.5170615780720673,-0.023612778231334966,-0.29999999999999993,0.02177959562582032,,,5
2011-06-03,0.26811680719282155,-0.012540655553270292,0.29999999999999993,0.02464301783292491,,,5
2011-06-07,0.033149245151191595,-0.02565444622903954,-0.19999999999999996,0.00732520225389092,,,5
2011-06-08,0.017191274588629846,-0.03284732853732003,0.09999999999999998,-0.0013732969494389905,,,5
2011-06-09,-0.42213761007767353,-0.02115571100557193,-0.5999999999999999,0.0044769658657878054,,,5
2011-06-10,0.9570541552267133,0.032110801885491584,0.9999999999999998,0.050584707247770186,,,5
2011-06-13,0.813014360343774,0.07861388009516396,0.7999999999999998,0.09709647087229509,,,5
2011-06-14,-0.08332409278042449,0.09431910864404174,-0.3999999999999999,0.08507385176854718,,,5
2011-06-15,-0.23734070171496396,0.07661785708075787,-0.19999999999999996,0.07348104073682085,,,5
2011-06-16,0.8483892724565941,0.07533887348092924,0.6999999999999998,0.06565723115120514,,,5
2011-06-17,-0.4210171024750276,0.031626652892273815,-0.4999999999999999,0.022334011024803514,,,5
2011-06-20,-0.059754826079775385,0.056053180541862375,0.09999999999999998,0.04993686919362447,,,5
2011-06-21,-0.022070399188706333,0.049177970626678474,0.29999999999999993,0.06501061436497532,,,5
2011-06-22,-0.32206373904998864,0.03493376631219723,0.09999999999999998,0.08053673786743994,,,5
2011-06-23,-0.17275266065934428,0.020459430501958233,0.09999999999999998,0.08357033641583557,,,5
2011-06-24,-0.19481366123547145,0.04372959104578971,0.09999999999999998,0.11322865490855816,,,5
2011-06-27,-0.3153186795513339,0.0441608812085223,-0.29999999999999993,0.11661026013214155,,,5
2011-06-28,-0.2097648505530642,0.02357074441353319,-0.29999999999999993,0.11364987222299633,,,5
2011-06-29,0.11280471449492485,0.02306493972315588,0.09999999999999998,0.10469714857125509,,,5
2011-06-30,-0.09742448275376857,0.02739387111106274,-0.29999999999999993,0.10807005971560893,,,5
2011-07-01,-0.1787416463874358,-0.005481720636161408,0.09999999999999998,0.08221550184542681,,,5
2011-07-04,-0.511415386960884,-0.01152578953515047,-0.6999999999999998,0.07180095912646733,,,5
2011-07-05,0.41337496698351783,0.02026074199579201,0.5999999999999999,0.11773003330182014,,,5
2011-07-06,-0.7304732631090031,-0.03213149655235455,-0.8999999999999998,0.06245564577941914,,,5
2011-07-07,0.11054791103199463,-0.059065906650798486,-0.09999999999999998,0.034457146271544614,,,5
2011-07-08,-0.5066088264322333,-0.07846977776035653,-0.5999999999999999,0.021273920030978187,,,5
2011-07-11,-0.2845505559099264,-0.07896293342028529,-0.6999999999999998,0.011535941984076611,,,5
2011-07-12,-0.06230867664382611,-0.1078023809114144,-0.09999999999999998,-0.0241128002966283,,,5
2011-07-13,0.32347641044351183,-0.0941363426023019,0.5999999999999999,0.002060750965903284,,,5
2011-07-14,0.3269480054774186,-0.08406522923771254,0.19999999999999996,-0.004435908913007074,,,5
2011-07-15,-0.35170399017143655,-0.13008746732534546,-0.09999999999999998,-0.03443408260449655,,,5
