date,PP
2018-12-21,8.25
2018-12-28,7.5
2019-01-04,8.25
2019-01-11,7.5
2019-01-18,7.95
2019-01-25,8.55
2019-02-01,9.0
2019-02-08,10.5
2019-02-15,21.0
2019-02-22,16.5
2019-03-01,18.75
2019-03-08,20.25
2019-03-15,18.75
2019-03-22,16.5
2019-03-29,15.75
2019-04-05,16.5
2019-04-12,16.950000000000003
2019-04-19,18.450000000000003
2019-04-26,17.25
2019-05-03,
