date,LL
2018-04-20,26.92307692
2018-04-28,26.92307692
2018-05-04,26.92307692
2018-05-11,26.53846154
2018-05-18,26.53846154
2018-05-25,26.15384615
2018-06-01,26.0
2018-06-08,26.0
2018-06-15,26.0
2018-06-22,24.61538462
2018-06-29,23.38461538
2018-07-06,23.07692308
2018-07-13,24.61538462
2018-07-20,25.0
2018-07-27,25.38461538
2018-08-03,26.15384615
2018-08-10,26.92307692
2018-08-17,26.76923077
2018-08-24,26.53846154
2018-08-31,26.15384615
2018-09-07,26.15384615
2018-09-14,25.76923077
2018-09-21,25.38461538
2018-09-28,23.07692308
2018-10-12,22.30769231
2018-10-19,21.53846154
2018-10-26,20.76923077
2018-11-02,20.0
2018-11-09,19.23076923
2018-11-16,18.46153846
2018-11-23,18.07692308
2018-11-30,10.0
2018-12-07,8.846153846
2018-12-14,7.692307692000001
2018-12-21,8.846153846
2018-12-28,8.076923077
2019-01-04,8.1
2019-01-11,8.7
2019-01-18,10.7
2019-01-25,11.53846154
2019-02-01,13.07692308
2019-02-08,15.0
2019-02-15,19.23076923
2019-02-22,15.384615384615383
2019-03-01,16.923076923076923
2019-03-08,18.846153846153847
2019-03-15,19.615384615384613
2019-03-22,20.384615384615383
2019-03-29,20.76923076923077
2019-04-05,21.153846153846153
2019-04-12,21.153846153846153
2019-04-19,25.0
2019-04-26,25.0
2019-05-03,
